DATETIME,ERCOT (LOAD_FORECAST),ERCOT (NET_LOAD_FORECAST_BID_CLOSE),ERCOT (WIND_STWPF_BIDCLOSE),ERCOT (WIND_COPHSL_BIDCLOSE),ERCOT (SOLAR_COPHSL_BIDCLOSE),ERCOT (RTLOAD),ERCOT (WIND_RTI),ERCOT (SOLAR_GENERATION),HOURENDING,MARKETDAY,PEAKTYPE,MONTH,YEAR
01/01/2026 01:00:00,45702.000854,28171.1702,19690.1,19101.4,0,46229.83,20781.72,,1,01/01/2026,OFFPEAK,JANUARY,2026
01/01/2026 02:00:00,45687.1604,27928.8803,19085.3,18513,0,46216.97,19906.16,,2,01/01/2026,OFFPEAK,JANUARY,2026
01/01/2026 03:00:00,45949.220703,28574.7699,18137,17587.3,0,46148.07,18247.59,,3,01/01/2026,OFFPEAK,JANUARY,2026
01/01/2026 04:00:00,45912.739258,29690.2708,17137.6,16609.1,0,46250.84,16524.11,,4,01/01/2026,OFFPEAK,JANUARY,2026
01/01/2026 05:00:00,46456.57959,31321.2506,16040.9,15582.1,0,46690.5,15734.93,,5,01/01/2026,OFFPEAK,JANUARY,2026
01/01/2026 06:00:00,47738.040649,33879.6299,14758.3,14344.7,0,47369.17,14899.9,,6,01/01/2026,OFFPEAK,JANUARY,2026
01/01/2026 07:00:00,50171.200317,36528.3595,13682.1,13302.5,0,48431.97,13688.12,,7,01/01/2026,WEPEAK,JANUARY,2026
01/01/2026 08:00:00,50850.07019,37771.6289,13085,12751.7,472.2,48992.24,13018.19,,8,01/01/2026,WEPEAK,JANUARY,2026
01/01/2026 09:00:00,50363.260132,30546.3594,12439.5,12123.2,7942.9,48788.65,12276.79,,9,01/01/2026,WEPEAK,JANUARY,2026
01/01/2026 10:00:00,48813.48938,22021.9705,10367.4,10124.4,17013.8,48066.5,9400.11,,10,01/01/2026,WEPEAK,JANUARY,2026
01/01/2026 11:00:00,47604.120483,21749.2302,7535.8,7332.2,18791.9,47183.15,6749.76,,11,01/01/2026,WEPEAK,JANUARY,2026
01/01/2026 12:00:00,46726.989014,21624.281,6571.1,6396.5,18736,46462.57,6228.67,,12,01/01/2026,WEPEAK,JANUARY,2026
01/01/2026 13:00:00,46030.540039,20881.1097,7517.7,7280,17714,46129.92,6939.1,,13,01/01/2026,WEPEAK,JANUARY,2026
01/01/2026 14:00:00,45752.770386,19095.0594,9306.1,8946.6,17265.4,45880.08,8358.22,,14,01/01/2026,WEPEAK,JANUARY,2026
01/01/2026 15:00:00,45812.710205,17739.2901,11223.2,10766.3,16744.7,45724.56,10697.6,,15,01/01/2026,WEPEAK,JANUARY,2026
01/01/2026 16:00:00,45889.940308,18400.5997,12751.9,12213.6,14738.9,45791.54,13175.51,,16,01/01/2026,WEPEAK,JANUARY,2026
01/01/2026 17:00:00,46166.650269,23721.0697,14051.2,13321.5,8424,46173.23,15120.8,,17,01/01/2026,WEPEAK,JANUARY,2026
01/01/2026 18:00:00,47307.089844,30451.3301,16057.6,15407.6,952.1,47409.51,15478.12,,18,01/01/2026,WEPEAK,JANUARY,2026
01/01/2026 19:00:00,48876.849854,29857.5207,19289.9,18631,0,48567.03,18539.88,,19,01/01/2026,WEPEAK,JANUARY,2026
01/01/2026 20:00:00,48287.21106,26555.1901,22400.1,21647.9,0,48255.7,21148.57,,20,01/01/2026,WEPEAK,JANUARY,2026
01/01/2026 21:00:00,47877.300293,23944.1601,24813.6,24065.7,0,47733.55,23426.94,,21,01/01/2026,WEPEAK,JANUARY,2026
01/01/2026 22:00:00,47125.049316,21285.4399,26740.9,25980.8,0,47022.06,25237.57,,22,01/01/2026,WEPEAK,JANUARY,2026
01/01/2026 23:00:00,45761.950195,18553.9805,28134.8,27371.6,0,45712.55,25542.67,,23,01/01/2026,OFFPEAK,JANUARY,2026
01/02/2026 00:00:00,44383.860229,16194.1611,29001.5,28253.7,0,44223.96,24990.93,,24,01/01/2026,OFFPEAK,JANUARY,2026
01/02/2026 01:00:00,43142.959595,14656.3895,29007.9,28242.7,0,42904.89,24303.95,,1,01/02/2026,OFFPEAK,JANUARY,2026
01/02/2026 02:00:00,41602.599731,13599.7799,28784.4,28022.1,0,41810.6,24171.63,,2,01/02/2026,OFFPEAK,JANUARY,2026
01/02/2026 03:00:00,41051.539917,13390.9495,28281.8,27504.4,0,41163.62,24009.67,,3,01/02/2026,OFFPEAK,JANUARY,2026
