DATETIME,GKS_BESS_RN (DALMP),GKS_BESS_RN (RTLMP),HB_HOUSTON (DALMP),HB_HOUSTON (RTLMP),HOURENDING,MARKETDAY,PEAKTYPE,MONTH,YEAR
01/01/2026 01:00:00,20.09,17.8575,20.53,17.8075,1,01/01/2026,OFFPEAK,JANUARY,2026
01/01/2026 02:00:00,20.34,19.42,20.8,19.36,2,01/01/2026,OFFPEAK,JANUARY,2026
01/01/2026 03:00:00,20.15,20.6625,20.99,20.6,3,01/01/2026,OFFPEAK,JANUARY,2026
01/01/2026 04:00:00,21.91,22.03,21.72,21.81,4,01/01/2026,OFFPEAK,JANUARY,2026
01/01/2026 05:00:00,23.51,23.1475,23.57,22.63,5,01/01/2026,OFFPEAK,JANUARY,2026
01/01/2026 06:00:00,28.48,24.05,28.51,23.415,6,01/01/2026,OFFPEAK,JANUARY,2026
01/01/2026 07:00:00,32.63,23.745,32.36,23.3975,7,01/01/2026,WEPEAK,JANUARY,2026
01/01/2026 08:00:00,32.57,23.5725,32.08,23.23,8,01/01/2026,WEPEAK,JANUARY,2026
01/01/2026 09:00:00,22.39,17.9475,21.31,17.7775,9,01/01/2026,WEPEAK,JANUARY,2026
01/01/2026 10:00:00,17.64,14.68,17.12,14.7625,10,01/01/2026,WEPEAK,JANUARY,2026
01/01/2026 11:00:00,17.54,14.0125,17.39,15.42,11,01/01/2026,WEPEAK,JANUARY,2026
01/01/2026 12:00:00,14.89,12.54,15.29,14.1725,12,01/01/2026,WEPEAK,JANUARY,2026
01/01/2026 13:00:00,15.09,13.9025,15.32,14.5925,13,01/01/2026,WEPEAK,JANUARY,2026
01/01/2026 14:00:00,13.46,11.7575,13.64,12.2875,14,01/01/2026,WEPEAK,JANUARY,2026
01/01/2026 15:00:00,9.96,14.825,9.92,14.8525,15,01/01/2026,WEPEAK,JANUARY,2026
01/01/2026 16:00:00,13.36,15.0175,13.2,15.0175,16,01/01/2026,WEPEAK,JANUARY,2026
01/01/2026 17:00:00,21.09,18.795,20.8,18.795,17,01/01/2026,WEPEAK,JANUARY,2026
01/01/2026 18:00:00,25.78,22.08,25.62,22.08,18,01/01/2026,WEPEAK,JANUARY,2026
01/01/2026 19:00:00,24.56,20.0175,25.15,20.015,19,01/01/2026,WEPEAK,JANUARY,2026
01/01/2026 20:00:00,19.58,17.4525,20.28,17.47,20,01/01/2026,WEPEAK,JANUARY,2026
01/01/2026 21:00:00,15.05,13.8175,16.73,14.3875,21,01/01/2026,WEPEAK,JANUARY,2026
01/01/2026 22:00:00,11.65,11.375,14.28,13.0675,22,01/01/2026,WEPEAK,JANUARY,2026
01/01/2026 23:00:00,12.11,12.14,15.78,14.8925,23,01/01/2026,OFFPEAK,JANUARY,2026
01/02/2026 00:00:00,6.2,11.635,13.83,14.6,24,01/01/2026,OFFPEAK,JANUARY,2026
01/02/2026 01:00:00,10.27,11.92,15.77,15.0575,1,01/02/2026,OFFPEAK,JANUARY,2026
01/02/2026 02:00:00,7.45,10.59,12.58,13.2975,2,01/02/2026,OFFPEAK,JANUARY,2026
01/02/2026 03:00:00,7.96,9.915,10.5,12.3425,3,01/02/2026,OFFPEAK,JANUARY,2026
01/02/2026 04:00:00,9.17,7.4675,10.56,9.3225,4,01/02/2026,OFFPEAK,JANUARY,2026
01/02/2026 05:00:00,12.36,8.7075,13.87,10.64,5,01/02/2026,OFFPEAK,JANUARY,2026
01/02/2026 06:00:00,15.54,11.3675,16.86,13.8225,6,01/02/2026,OFFPEAK,JANUARY,2026
01/02/2026 07:00:00,18.29,14.5075,19.06,16.6575,7,01/02/2026,WDPEAK,JANUARY,2026
01/02/2026 08:00:00,19.14,14.17,19.95,16.4825,8,01/02/2026,WDPEAK,JANUARY,2026
01/02/2026 09:00:00,15.25,2.285,15.51,2.915,9,01/02/2026,WDPEAK,JANUARY,2026
01/02/2026 10:00:00,2.67,-2.5225,2.8,-2.5225,10,01/02/2026,WDPEAK,JANUARY,2026
01/02/2026 11:00:00,3.04,-2.06,2.17,-2.06,11,01/02/2026,WDPEAK,JANUARY,2026
01/02/2026 12:00:00,4.97,-2.0225,2.82,-2.0225,12,01/02/2026,WDPEAK,JANUARY,2026
01/02/2026 13:00:00,7.55,-1.0975,4.73,-1.1825,13,01/02/2026,WDPEAK,JANUARY,2026
01/02/2026 14:00:00,13.74,.005,9.72,-.4875,14,01/02/2026,WDPEAK,JANUARY,2026
01/02/2026 15:00:00,14.32,12.7175,10.09,-.905,15,01/02/2026,WDPEAK,JANUARY,2026
01/02/2026 16:00:00,15.67,20.405,9.22,-1.13,16,01/02/2026,WDPEAK,JANUARY,2026
01/02/2026 17:00:00,24.09,28.6575,19.4,13.715,17,01/02/2026,WDPEAK,JANUARY,2026
01/02/2026 18:00:00,42.7,23.5875,41.51,23.505,18,01/02/2026,WDPEAK,JANUARY,2026
01/02/2026 19:00:00,31.32,21.525,31.11,21.525,19,01/02/2026,WDPEAK,JANUARY,2026
01/02/2026 20:00:00,24.43,17.9925,23.97,17.9925,20,01/02/2026,WDPEAK,JANUARY,2026
01/02/2026 21:00:00,22.36,16.2475,21.97,16.2475,21,01/02/2026,WDPEAK,JANUARY,2026
01/02/2026 22:00:00,19.54,14.7075,19.97,15.885,22,01/02/2026,WDPEAK,JANUARY,2026
01/02/2026 23:00:00,19.02,11.495,20.54,15.835,23,01/02/2026,OFFPEAK,JANUARY,2026
01/03/2026 00:00:00,16.57,6.4225,19.15,14.375,24,01/02/2026,OFFPEAK,JANUARY,2026
01/03/2026 01:00:00,14.4,.4875,15.63,16.3175,1,01/03/2026,OFFPEAK,JANUARY,2026
01/03/2026 02:00:00,14.68,-1.9925,15.78,15.225,2,01/03/2026,OFFPEAK,JANUARY,2026
01/03/2026 03:00:00,15.32,-1.175,16.12,15.985,3,01/03/2026,OFFPEAK,JANUARY,2026
01/03/2026 04:00:00,17.51,11.96,17.52,14.3025,4,01/03/2026,OFFPEAK,JANUARY,2026
01/03/2026 05:00:00,16.46,13.9675,16.5,13.97,5,01/03/2026,OFFPEAK,JANUARY,2026
01/03/2026 06:00:00,20.07,14.2975,20.07,15.035,6,01/03/2026,OFFPEAK,JANUARY,2026
01/03/2026 07:00:00,22.19,17.0475,22.33,17.7275,7,01/03/2026,WEPEAK,JANUARY,2026
01/03/2026 08:00:00,23.51,17.8925,24.54,17.9075,8,01/03/2026,WEPEAK,JANUARY,2026
01/03/2026 09:00:00,18.25,12.8475,18.4,13.5275,9,01/03/2026,WEPEAK,JANUARY,2026
01/03/2026 10:00:00,13.79,2.9425,14.21,4.6675,10,01/03/2026,WEPEAK,JANUARY,2026
01/03/2026 11:00:00,12.8,5.595,13.82,7.9625,11,01/03/2026,WEPEAK,JANUARY,2026
01/03/2026 12:00:00,12.87,9.885,13.94,11.9,12,01/03/2026,WEPEAK,JANUARY,2026
01/03/2026 13:00:00,13.22,12.9075,14.17,13.125,13,01/03/2026,WEPEAK,JANUARY,2026
01/03/2026 14:00:00,14.1,13.9625,15.02,13.9625,14,01/03/2026,WEPEAK,JANUARY,2026
01/03/2026 15:00:00,13.66,11.1825,14.5,11.1825,15,01/03/2026,WEPEAK,JANUARY,2026
01/03/2026 16:00:00,14.21,2.015,14.38,2.015,16,01/03/2026,WEPEAK,JANUARY,2026
01/03/2026 17:00:00,24.46,25.51,24.3,25.51,17,01/03/2026,WEPEAK,JANUARY,2026
01/03/2026 18:00:00,43.75,32.185,47.07,38.2,18,01/03/2026,WEPEAK,JANUARY,2026
01/03/2026 19:00:00,36.55,24.0075,41.51,31.205,19,01/03/2026,WEPEAK,JANUARY,2026
01/03/2026 20:00:00,33.8,22.61,37.71,36.945,20,01/03/2026,WEPEAK,JANUARY,2026
01/03/2026 21:00:00,27.51,22.255,31.68,39.1075,21,01/03/2026,WEPEAK,JANUARY,2026
01/03/2026 22:00:00,26.39,18.97,27.9,25.7175,22,01/03/2026,WEPEAK,JANUARY,2026
01/03/2026 23:00:00,25.39,19.9875,26.55,22.2525,23,01/03/2026,OFFPEAK,JANUARY,2026
01/04/2026 00:00:00,24.04,13.4575,25.51,19.39,24,01/03/2026,OFFPEAK,JANUARY,2026
01/04/2026 01:00:00,16.22,11.645,21.67,19.6625,1,01/04/2026,OFFPEAK,JANUARY,2026
01/04/2026 02:00:00,16.66,8.52,21.06,19.9,2,01/04/2026,OFFPEAK,JANUARY,2026
01/04/2026 03:00:00,15.73,12.905,19.59,19.2675,3,01/04/2026,OFFPEAK,JANUARY,2026
01/04/2026 04:00:00,16.97,22.125,19.72,22.1325,4,01/04/2026,OFFPEAK,JANUARY,2026
01/04/2026 05:00:00,18.47,19.3375,20.09,19.3375,5,01/04/2026,OFFPEAK,JANUARY,2026
01/04/2026 06:00:00,19.84,18.74,20.64,18.74,6,01/04/2026,OFFPEAK,JANUARY,2026
01/04/2026 07:00:00,19.72,17.8025,19.64,17.8025,7,01/04/2026,WEPEAK,JANUARY,2026
01/04/2026 08:00:00,20.02,15.6425,19.75,15.6425,8,01/04/2026,WEPEAK,JANUARY,2026
01/04/2026 09:00:00,16.31,12.2375,15.97,12.265,9,01/04/2026,WEPEAK,JANUARY,2026
01/04/2026 10:00:00,8.9,8.29,6.33,8.49,10,01/04/2026,WEPEAK,JANUARY,2026
01/04/2026 11:00:00,7.71,3.1525,5.49,3.245,11,01/04/2026,WEPEAK,JANUARY,2026
01/04/2026 12:00:00,5.1,9.62,1.57,.7075,12,01/04/2026,WEPEAK,JANUARY,2026
01/04/2026 13:00:00,6.1,17.4025,.43,.6875,13,01/04/2026,WEPEAK,JANUARY,2026
01/04/2026 14:00:00,4.65,27.08,.43,.71,14,01/04/2026,WEPEAK,JANUARY,2026
01/04/2026 15:00:00,3.64,19.64,.39,11.665,15,01/04/2026,WEPEAK,JANUARY,2026
01/04/2026 16:00:00,2.99,25.92,.22,21.3275,16,01/04/2026,WEPEAK,JANUARY,2026
