node,date,total_offer_mw,total_bid_mw,offer_revenue,bid_revenue,net_revenue,avg_da_lmp,avg_rt_lmp,avg_dart_spread,hours_positive,hours_negative,hours_participated,positive_revenue,negative_revenue,win_rate,profit_loss_ratio,hsl,total_awarded_mw,max_possible_mw,participation_rate
ABINDUST_RN,2026-05-25,0.0,-51.0,0.0,-211.51499999999993,-211.51499999999993,3.429411764705882,4.588970588235293,-1.1595588235294114,2,11,13,29.172500000000007,-240.68749999999994,15.4,0.67,9.9,51.0,237.60000000000002,21.5
ADL_RN,2026-05-25,0.0,-13.1,0.0,-73.57850000000002,-73.57850000000002,15.766666666666666,16.668333333333333,-0.9016666666666661,1,2,3,1.7950000000000017,-75.37350000000002,33.3,0.05,0.0,13.1,0.0,0.0
AE_RN,2026-05-25,3.5,-57.9,-16.919500000000003,-257.79025,-274.70975000000004,23.483333333333334,27.1496875,-3.666354166666667,5,18,23,24.343500000000006,-299.05325,21.7,0.29,9.9,61.4,237.60000000000002,25.8
ALAMO_ST_RN,2026-05-25,0.0,-1.0,0.0,-2.4949999999999974,-2.4949999999999974,18.713333333333335,22.328333333333333,-3.614999999999999,0,1,1,0.0,-2.4949999999999974,0.0,0.0,9.9,1.0,237.60000000000002,0.4
ALP_BESS_RN,2026-05-25,2.9000000000000004,-33.1,-11.800750000000003,-125.0265,-136.82725,22.374583333333334,26.972083333333334,-4.5975,4,19,23,95.24400000000003,-232.07125000000008,17.4,1.95,100.3,36.0,2407.2,1.5
ALVIN_RN,2026-05-25,3.3000000000000003,-125.1,-17.033,-878.6267500000001,-895.65975,23.22,27.16,-3.94,5,18,23,32.9135,-928.5732500000001,21.7,0.13,7.5,128.4,180.0,71.3
AMAD_ESS_RN,2026-05-25,0.0,-2.0,0.0,-4.557500000000001,-4.557500000000001,23.95,26.228749999999998,-2.2787500000000005,0,2,2,0.0,-4.557500000000001,0.0,0.0,0.0,2.0,0.0,0.0
ANCHOR_ALL,2026-05-25,96.3,-61.3,-977.7175,-408.10724999999996,-1385.82475,21.691666666666666,26.984375,-5.292708333333334,3,20,23,34.0895,-1419.9142499999998,13.0,0.16,36.3,157.6,871.1999999999999,18.1
ANDMDSLR_ALL,2026-05-25,1764.6,-14.4,-14820.425499999998,-23.988750000000003,-14844.414249999998,21.60166666666667,26.96145833333333,-5.359791666666666,3,20,23,297.6807500000003,-15142.094999999998,13.0,0.13,81.9,1779.0,1965.6000000000001,90.5
ANEM_ESS_RN,2026-05-25,4.0,-1.0,-12.918500000000002,1.7872500000000013,-11.13125,24.878333333333334,26.973958333333332,-2.0956249999999996,6,17,23,5.202000000000002,-16.333250000000003,26.1,0.9,200.0,5.0,4800.0,0.1
ANG_ALL,2026-05-25,1341.8,-66.1,-13902.5265,-475.66125000000005,-14378.187750000001,22.147499999999997,26.990729166666668,-4.843229166666667,4,19,23,7.404999999999989,-14385.59275,17.4,0.0,100.0,1407.8999999999999,2400.0,58.7
ANOL_ESS_RN,2026-05-25,3.1,-3.4000000000000004,-16.97575,-14.589249999999998,-31.564999999999998,22.264583333333334,27.256145833333335,-4.9915625,3,20,23,4.274500000000001,-35.8395,13.0,0.8,240.0,6.5,5760.0,0.1
ANTL_ESS_ES1,2026-05-25,2.2,-40.5,-9.623250000000002,-111.90350000000001,-121.52675,22.8325,26.831666666666667,-3.999166666666667,6,17,23,57.00749999999999,-178.53425,26.1,0.9,70.0,42.7,1680.0,2.5
APPLE_ESR_RN,2026-05-25,0.0,0.0,0.0,0.0,0.0,15.97,32.01,-16.04,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARY_BESS_RN,2026-05-25,0.0,-1.0,0.0,-5.967500000000001,-5.967500000000001,29.5375,33.420625,-3.8831250000000006,0,1,1,0.0,-5.967500000000001,0.0,0.0,0.0,1.0,0.0,0.0
AVIL_ESS_RN,2026-05-25,3.3000000000000003,-3.1,-21.79475,-22.917500000000004,-44.712250000000004,22.249166666666667,26.976770833333333,-4.727604166666667,5,18,23,5.4125,-50.124750000000006,21.7,0.39,160.0,6.4,3840.0,0.2
AZURE_RN,2026-05-25,49.400000000000006,-7.500000000000001,-559.59425,-22.615250000000007,-582.2095,21.636666666666667,26.959270833333335,-5.322604166666666,3,20,23,5.149000000000001,-587.3585,13.0,0.06,77.6,56.900000000000006,1862.3999999999999,3.1
BATCAVE_RN,2026-05-25,312.8,-9.4,-1169.2462500000001,-27.257249999999996,-1196.5035000000003,24.41125,27.026875,-2.615625,5,18,23,157.91500000000005,-1354.4185000000002,21.7,0.42,100.5,322.2,2412.0,13.4
BAYC_BESS_RN,2026-05-25,3.6,-7.3,-16.32275,-18.324749999999995,-34.647499999999994,23.594583333333333,27.091875,-3.497291666666667,5,18,23,6.248500000000002,-40.895999999999994,21.7,0.55,9.9,10.9,237.60000000000002,4.6
BCK_RN,2026-05-25,1768.6000000000001,-6.5,-16449.34025,-41.369499999999995,-16490.70975,21.412916666666664,26.6984375,-5.285520833333333,5,18,23,170.3715000000001,-16661.08125,21.7,0.04,126.5,1775.1000000000001,3036.0,58.5
BCNV2_ES_RN,2026-05-25,0.0,0.0,0.0,0.0,0.0,23.445,26.064999999999998,-2.619999999999999,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCNV_RN,2026-05-25,0.0,-3.0,0.0,-25.689999999999998,-25.689999999999998,30.275,34.195,-3.92,0,3,3,0.0,-25.689999999999998,0.0,0.0,150.0,3.0,3600.0,0.1
BEXAR_ES_RN,2026-05-25,4.2,-106.1,-19.42775,-431.4612500000001,-450.8890000000001,24.109166666666667,27.033645833333335,-2.924479166666666,6,17,23,34.06800000000001,-484.95700000000016,26.1,0.2,48.0,110.3,1152.0,9.6
BIGSTAR_ALL,2026-05-25,32.300000000000004,-2.9,-155.4165,9.0445,-146.372,24.545,27.04760416666667,-2.5026041666666665,6,17,23,24.4195,-170.7915,26.1,0.41,80.0,35.2,1920.0,1.8
BKSL_RN,2026-05-25,2.9000000000000004,-20.1,-16.9985,-127.024,-144.0225,21.459166666666665,26.952187499999997,-5.493020833333333,3,20,23,43.43974999999999,-187.46224999999995,13.0,1.54,100.0,23.0,2400.0,1.0
BLACKSPR_RN,2026-05-25,1.0,-12.0,8.692499999999999,28.02000000000001,36.712500000000006,9.7425,8.626875,1.115625,3,3,6,62.33250000000001,-25.619999999999997,50.0,2.43,120.0,13.0,2880.0,0.5
BLSMT1_5_A_6,2026-05-25,900.0,-83.89999999999999,-3580.4945,-851.1569999999999,-4431.651499999999,21.516666666666666,26.93375,-5.417083333333333,3,20,23,1675.6115000000004,-6107.263,13.0,1.83,150.0,983.9,3600.0,27.3
BLUEJAY_RN,2026-05-25,66.1,-21.1,-779.75775,-63.76425000000001,-843.5219999999999,14.735333333333333,20.160666666666664,-5.425333333333333,0,12,12,0.0,-843.5219999999999,0.0,0.0,50.0,87.19999999999999,1200.0,7.3
BLVN_RN,2026-05-25,1652.5,-44.1,-15124.452749999999,-149.51800000000003,-15273.970749999999,21.420833333333334,27.110520833333336,-5.689687500000001,4,19,23,330.6165000000001,-15604.58725,17.4,0.1,180.0,1696.6,4320.0,39.3
BOCO_ESS_RN,2026-05-25,25.5,-34.6,-45.57999999999998,-196.665,-242.24499999999998,22.1375,26.969583333333333,-4.832083333333332,4,19,23,53.74400000000001,-295.989,17.4,0.86,150.0,60.1,3600.0,1.7
BRHEIGHT_RN,2026-05-25,0.0,-5.0,0.0,-5.470000000000002,-5.470000000000002,10.545,13.375,-2.83,1,1,2,0.18999999999999773,-5.66,50.0,0.03,10.0,5.0,240.0,2.1
BRPANGLE_RN,2026-05-25,3.5,-41.3,-17.857750000000003,-35.350750000000005,-53.2085,23.269583333333333,27.14635416666667,-3.8767708333333335,5,18,23,101.5455,-154.75400000000002,21.7,2.36,10.0,44.8,240.0,18.7
BRPMAGNO_RN,2026-05-25,4.6000000000000005,-79.0,-10.816749999999999,-420.9355,-431.75225,25.46083333333333,27.1678125,-1.706979166666666,9,14,23,24.316500000000033,-456.0687500000001,39.1,0.08,7.5,83.6,180.0,46.4
BRP_BRAZ_RN,2026-05-25,0.0,-1.1,0.0,-0.6302500000000002,-0.6302500000000002,10.862857142857141,9.413928571428572,1.4489285714285722,1,1,2,0.11749999999999972,-0.7477499999999999,50.0,0.16,10.0,1.1,240.0,0.5
BRP_DIKN_RN,2026-05-25,3.7,-3.3,-6.696999999999999,10.858750000000002,4.161750000000003,26.05125,27.169583333333332,-1.118333333333333,9,14,23,17.978750000000005,-13.817,39.1,2.02,8.5,7.0,204.0,3.4
BRP_LOOP_RN,2026-05-25,7.7,-69.10000000000001,-31.68425,-121.24724999999997,-152.93149999999997,24.123333333333335,27.073958333333334,-2.950625,6,17,23,2.4132500000000006,-155.34474999999995,26.1,0.04,10.0,76.80000000000001,240.0,32.0
