node,net_revenue,offer_revenue,bid_revenue,days_active,total_offer_mw,total_bid_mw,hsl,rank
RRANCHES_ALL,1128792.5215399999,1135322.8690399996,-6530.347500000002,184.0,9919.1,-88937.2,150.0,1
EBNY_ESS_RN,816804.1605,816289.0109999999,515.1494999999999,184.0,6248.4,-859.7,200.0,2
BLVN_RN,440411.72449999995,447351.343,-6939.6185,182.0,172625.6,-4644.0,180.0,3
SG_BES_BESS1,391101.91404999996,378775.5598,12326.35425,184.0,13905.8,-29713.7,100.0,4
RADN_SLR_ALL,311638.27074,281372.58223999996,30265.688499999997,183.0,28133.6,-47220.0,81.9,5
BCK_RN,279733.227,290530.22949999996,-10797.002499999999,183.0,183329.80000000002,-4441.6,126.5,6
GIGA_ESS_RN,248129.88124999998,254022.09624999997,-5892.215,183.0,5462.7,-10123.3,125.0,7
PALACIOS_RN,217248.77980000002,218662.06305000003,-1413.2832500000004,184.0,28079.9,-2801.6,4.0,8
CORALSLR_ALL,211629.84324999998,226056.64775,-14426.804500000002,184.0,125282.90000000001,-4240.7,51.4,9
CROSSETT_ALL,170308.29845,173029.139,-2720.8405499999985,184.0,5366.7,-22463.800000000003,100.0,10
TBWF_ES_BES1,163786.68775,154389.55675000002,9397.131000000001,184.0,2335.7,-1376.3999999999999,150.0,11
MUSTNGCK_ALL,156411.95028999998,152064.0815,4347.8687899999995,184.0,15551.400000000001,-7629.0,71.0,12
FIVEWSLR_ALL,126356.00869999999,116067.79470000001,10288.214,183.0,96240.79999999999,-2373.5,220.0,13
SUNVASLR_ALL,116839.862,108914.81155,7925.05045,184.0,40213.1,-6070.9,53.3,14
BATCAVE_RN,115669.98595,82896.22745,32773.758499999996,184.0,50762.600000000006,-6909.2,100.5,15
VORT_ALL_RN,109333.64938,106813.14988,2520.4994999999994,184.0,70580.4,-2747.0,121.8,16
FLOWERII_RN,107609.30625,105678.80374999999,1930.5024999999969,184.0,6060.8,-21429.1,95.0,17
ROSELAND_ALL,105584.9923,116460.0273,-10875.035000000002,184.0,78450.40000000001,-10651.5,50.0,18
RN_SOLC_SLR,100525.65,87672.23875,12853.411250000001,137.0,41237.7,-2989.1,160.0,19
PHO_ALL,90886.78625,89957.7235,929.06275,178.0,8129.4,-2419.2,150.0,20
DAN_ALL,80911.48425000001,93162.89325,-12251.408999999998,182.0,9395.1,-2981.8,76.3,21
EUNICE_ALL,78327.6422,101054.12932999998,-22726.48713,184.0,82380.5,-25073.9,18.0,22
ANCHOR_ALL,71524.662,68755.7665,2768.8955000000014,184.0,54136.0,-11661.0,36.3,23
HOUSEMTN_RN,69372.58965,65174.31155,4198.2780999999995,184.0,4153.5,-15340.0,60.0,24
BEXAR_ES_RN,67098.40525,73712.90125000002,-6614.496,183.0,171799.0,-2596.9,100.0,25
MUENSTER_RN,64572.488249999995,55520.7655,9051.722749999999,183.0,9726.2,-2733.4,9.9,26
ANG_ALL,62682.276,34635.092499999984,28047.183500000003,184.0,144166.6,-10521.6,100.0,27
ZIER_SLR_ALL,62366.452000000005,60362.82200000001,2003.6299999999937,183.0,44104.2,-35642.3,40.0,28
NF_BRP_RN,61582.175950000004,4625.224249999999,56956.95169999999,184.0,7962.0,-11757.6,100.5,29
RHESS2_ESS1,44103.08875,-8988.286,53091.37475,184.0,11882.7,-21475.7,9.9,30
HV_BESS1_RN,41468.32167,39971.11875,1497.20292,184.0,22093.100000000002,-1523.4,9.9,31
RRC_WIND_ALL,40845.24127,25843.12552,15002.11575,184.0,30944.3,-2167.8999999999996,75.0,32
STADIUM_RN,38942.133499999996,17625.66775,21316.46575,160.0,9656.199999999999,-4043.7000000000003,9.9,33
JADE_SLR_ALL,34811.35651,39360.13051,-4548.774000000001,184.0,39122.200000000004,-4873.0,81.9,34
WOV_BESS_RN,34378.6715,1392.7602500000012,32985.911250000005,183.0,18244.5,-18752.0,9.9,35
AZURE_RN,33088.19496,39261.368709999995,-6173.173749999998,184.0,13953.3,-5493.6,77.6,36
SHEEPCRK_1,32280.192779999998,34101.52553,-1821.3327500000007,184.0,23683.3,-3288.5,135.0,37
NOBLESLR_ALL,29932.0922,41785.05379999998,-11852.9616,184.0,243972.80000000002,-12735.1,62.5,38
INRT_W_ALL,28741.49208,30046.659080000005,-1305.1670000000001,184.0,13851.4,-2248.5,13.0,39
BLSMT1_5_A_6,26148.694119999996,26883.33312,-734.6390000000009,183.0,30269.300000000003,-4602.200000000001,150.0,40
TORR_ALL,25915.487250000002,25245.289500000014,670.1977500000013,184.0,80707.8,-14189.7,0.0,41
MYR_ALL,25076.884,17265.5,7811.384000000001,179.0,4593.5,-1978.4,75.6,42
RN_QTUM_SLR,21960.095749999997,21570.180749999996,389.9150000000001,96.0,14010.1,-207.0,160.0,43
MIDWY_RN,20762.04263,14.38855000000001,20747.65408,183.0,657.5,-20518.5,6.0,44
BRP_PBL2_RN,20089.47725,-1501.66725,21591.144500000002,66.0,145.0,-963.8,10.0,45
BYP_RN,20053.350499999993,-12886.102250000004,32939.45275,140.0,42839.3,-53326.2,200.0,46
