node,net_revenue,offer_revenue,bid_revenue,days_active,hsl,avg_win_rate,avg_profit_loss_ratio,total_offer_mw,total_bid_mw,rank
RRANCHES_ALL,1101494.9682,1129188.8209499998,-27693.85275000001,200,150.0,40.5775,10.27375,10755.699999999999,-96277.0,1
EBNY_ESS_RN,809833.18784,809411.2488399999,421.939,200,200.0,36.8115,30.0597,7081.099999999999,-884.1,2
BLVN_RN,383328.46764,390203.36538999993,-6874.89775,198,180.0,38.10353535353536,30.317676767676765,188146.8,-5365.5,3
SG_BES_BESS1,354218.36071,363268.39346,-9050.03275,200,100.0,39.801,12.93345,16141.7,-33633.1,4
RADN_SLR_ALL,296697.00818,266819.28243,29877.725749999994,199,81.9,41.200502512562814,7.17643216080402,33326.7,-47728.1,5
GIGA_ESS_RN,246403.86034,252852.47609,-6448.615750000001,199,125.0,40.12613065326634,9.769095477386934,5717.8,-10370.7,6
PALACIOS_RN,224911.22484,223797.12884000002,1114.0959999999995,200,3.0,41.799,11.8056,29580.2,-3271.5,7
BCK_RN,211354.34233999997,230865.86358999996,-19511.521249999998,199,126.5,37.21256281407035,17.664874371859295,213163.0,-7603.0,8
CORALSLR_ALL,165017.78251,181951.43426,-16933.65175,200,51.4,37.418,8.52105,133284.69999999998,-5229.6,9
TBWF_ES_BES1,157431.74005,153587.11155000003,3844.6285,200,150.0,38.9095,24.4602,2798.4,-1900.1,10
MUSTNGCK_ALL,151960.8965,150435.76721000002,1525.1292899999999,200,71.0,39.974000000000004,5.29045,16580.5,-8061.2,11
CROSSETT_ALL,145315.78451,169592.59490999999,-24276.8104,200,100.0,39.876999999999995,14.88675,6881.9,-25444.1,12
VORT_ALL_RN,99040.51944,100957.61686000001,-1917.0974199999998,200,121.8,39.789,13.6075,74476.2,-3125.8,13
FLOWERII_RN,94216.84309,100956.22909,-6739.386000000003,200,95.0,40.461999999999996,16.462249999999997,7170.8,-24096.4,14
SUNVASLR_ALL,94136.21065999998,87453.03496,6683.175700000001,200,53.0,39.514,8.5945,49126.0,-6444.3,15
ROSELAND_ALL,86028.29404,107518.14203999999,-21489.848,200,50.0,38.852,9.28065,83012.9,-13645.7,16
FIVEWSLR_ALL,82093.3605,72588.02653,9505.33397,199,220.0,38.79145728643216,13.799195979899498,122670.6,-2653.9,17
PHO_ALL,79708.27061,79452.84336,255.42725000000004,194,150.0,38.5340206185567,18.87896907216495,11963.199999999999,-2614.6,18
DAN_ALL,78560.63899,92799.57899,-14238.939999999999,198,76.3,38.093939393939394,13.588181818181818,13192.7,-3266.7999999999997,19
EUNICE_ALL,72587.16419999998,89191.79432999999,-16604.63013,200,18.0,40.54,32.17705,91968.4,-28270.5,20
NF_BRP_RN,65005.0502,7119.1495,57885.9007,199,100.5,43.44321608040202,9.924221105527637,8557.3,-12197.3,21
ANCHOR_ALL,63923.85809,63834.35737,89.50072000000023,200,36.3,40.5675,9.04665,57604.1,-12087.5,22
RN_SOLC_SLR,62978.929249999994,58201.8205,4777.108749999999,153,0.0,33.54575163398693,16.771830065359474,51164.4,-3700.1,23
HOUSEMTN_RN,62134.33805999999,60872.59320999999,1261.744849999998,200,60.0,40.2465,15.57925,4524.9,-16322.4,24
MUENSTER_RN,53340.890250000004,49026.16025,4314.73,199,9.9,38.00854271356784,13.123567839195978,10733.3,-3765.4,25
