rank,node,net_revenue,offer_revenue,bid_revenue,days_active,hsl,avg_win_rate,avg_profit_loss_ratio,total_offer_mw,total_bid_mw
1,RRANCHES_ALL,1102430.6002,1128953.7976999998,-26523.19750000001,206,150.0,44.53041666666667,5.7752083333333335,10777.7,-99330.7
2,EBNY_ESS_RN,810828.19959,810476.3205899999,351.879,206,200.0,44.09741666666667,29.02735,7270.9,-893.5
3,BLVN_RN,389252.80764,396317.7996399999,-7064.992,204,180.0,45.00176767676768,16.813838383838384,191691.0,-5704.6
4,SG_BES_BESS1,340919.97096,358479.04021,-17559.06925,206,100.0,44.5005,6.629225,16673.5,-35577.9
5,RADN_SLR_ALL,298426.42843,269122.24268,29304.185749999997,205,81.9,43.15858458961474,4.509882747068676,34991.6,-48053.4
6,GIGA_ESS_RN,246525.57284,252999.42684,-6473.854000000001,205,125.0,47.11306532663317,6.5703810720268,5845.400000000001,-10533.300000000001
7,PALACIOS_RN,224695.42184000002,224764.45309,-69.03125000000045,206,3.0,49.6995,7.4528,30180.9,-3563.1
8,BCK_RN,197167.46034000002,224939.89484,-27772.434500000003,205,126.5,43.881281407035175,9.423270519262982,224019.2,-9359.3
9,CORALSLR_ALL,174998.84775999998,193079.69326,-18080.8455,206,51.4,46.06733333333334,7.679691666666667,135237.59999999998,-5675.3
10,TBWF_ES_BES1,156518.53805,153721.45405000003,2797.084,206,150.0,35.74641666666667,12.488433333333333,2926.9,-2209.6
11,MUSTNGCK_ALL,152064.34,150698.08996,1366.2500400000001,206,71.0,46.72033333333333,13.307725,16970.8,-8134.2
12,CROSSETT_ALL,138222.65250999999,168310.50016000003,-30087.84765,206,100.0,44.0885,7.7175416666666665,7374.599999999999,-26583.699999999997
13,VORT_ALL_RN,102336.41819000001,105260.50361,-2924.0854200000003,206,121.8,43.66116666666667,7.800416666666667,76368.7,-3422.0
14,SUNVASLR_ALL,95841.14915999999,90153.53046000001,5687.618700000001,206,53.0,44.982,4.906416666666667,51137.8,-6729.2
15,FLOWERII_RN,88701.44933999999,99698.08334,-10996.634000000004,206,95.0,44.381,8.565291666666665,7462.6,-25022.2
16,ROSELAND_ALL,84849.88803999999,107269.27979,-22419.391750000003,206,50.0,47.13433333333333,4.996158333333333,84308.4,-14751.5
17,PHO_ALL,79439.10811,78882.35210999999,556.7560000000001,200,150.0,43.50034364261168,10.471151202749141,12221.0,-2701.1
18,FIVEWSLR_ALL,77966.6465,69169.83853000001,8796.80797,205,220.0,45.27072864321608,7.898764656616415,132045.30000000002,-2796.1
19,DAN_ALL,77276.64474,91903.58299,-14626.938250000001,204,76.3,42.5719696969697,8.25159090909091,14363.1,-3375.4
