rank,node,net_revenue,offer_revenue,bid_revenue,total_offer_mw,total_bid_mw,win_rate,avg_win_rate,profit_loss_ratio,avg_profit_loss_ratio,participation_rate,avg_dart_spread,hsl,days_active
1,RRANCHES_ALL,1098874.11695,1129969.2136999997,-31095.09675000001,10998.400000000001,-113083.7,30.206722689075626,44.53041666666667,3.4656302521008397,5.7752083333333335,14.866386554621847,-0.5800617121848739,150.0,206.0
2,EBNY_ESS_RN,812531.08909,812044.2930899999,486.796,7519.0,-1032.2,36.62016806722689,44.09741666666667,4.151260504201681,29.02735,0.4054621848739496,0.5559646358543417,200.0,206.0
3,BLVN_RN,407817.08989,414103.26463999995,-6286.17475,207664.4,-6296.8,38.1453781512605,45.00176767676768,32.420336134453784,16.813838383838384,15.613445378151262,1.4366981792717088,180.0,204.0
4,SG_BES_BESS1,335689.43921,356722.27096,-21032.831749999998,19227.7,-38664.5,29.32899159663865,44.5005,3.55672268907563,6.629225,11.18403361344538,-0.2504529936974789,100.0,206.0
5,RADN_SLR_ALL,295467.40518,266087.27318,29380.132,40357.299999999996,-48596.8,26.81638655462185,43.15858458961474,0.8989075630252101,4.509882747068676,13.115966386554621,0.11639311974789915,81.9,205.0
6,GIGA_ESS_RN,246569.78609,253032.33259,-6462.546500000001,6049.500000000001,-10880.199999999999,34.6563025210084,47.11306532663317,0.9226890756302522,6.5703810720268,0.8857142857142857,0.5569336484593836,125.0,205.0
7,PALACIOS_RN,229014.69058999998,227739.07684,1275.6137499999995,35674.700000000004,-4951.1,33.26806722689076,49.6995,1.6061764705882353,7.4528,146.79705882352943,0.30765668767507,3.0,206.0
8,BCK_RN,206338.90258999998,238568.93159,-32230.029000000002,276809.80000000005,-11771.099999999999,32.13067226890756,43.881281407035175,4.100168067226891,9.423270519262982,71.85546218487394,0.09069677871148452,126.5,205.0
9,CORALSLR_ALL,181561.23250999997,197631.28551,-16070.053,142837.89999999997,-6218.7,39.18949579831933,46.06733333333334,10.748655462184875,7.679691666666667,27.971008403361346,1.6010390406162467,51.4,206.0
10,TBWF_ES_BES1,157639.16005,155259.38430000003,2379.7757500000002,3335.1,-3325.6,36.47436974789916,35.74641666666667,12.411134453781512,12.488433333333331,1.789075630252101,0.7756762079831934,150.0,206.0
11,MUSTNGCK_ALL,152871.878,151589.78196000002,1282.0960399999997,18747.3,-8449.0,32.639495798319324,46.72033333333333,1.6588235294117648,13.307725,5.290756302521008,0.11073179271708683,71.0,206.0
12,CROSSETT_ALL,135943.75326,166661.78241000004,-30718.02915,9854.0,-29060.4,34.47226890756303,44.0885,4.847478991596638,7.717541666666666,8.892016806722689,-0.24879945728291303,100.0,206.0
13,FIVEWSLR_ALL,123560.99025,114431.95903000001,9129.031219999999,176795.00000000003,-3187.6,35.695378151260506,45.27072864321608,21.71676470588235,7.898764656616415,35.71344537815126,1.028409051120448,220.0,205.0
14,VORT_ALL_RN,110190.37118999999,112762.07336,-2571.7021700000005,81669.0,-3784.0,32.82310924369748,43.66116666666667,2.7386554621848744,7.800416666666667,8.928991596638657,0.8686186974789917,121.8,206.0
15,ROSELAND_ALL,91996.03003999998,113455.03079,-21459.000750000003,91794.5,-18697.8,40.07142857142857,47.13433333333333,8.63142857142857,4.996158333333333,42.80966386554623,1.3755554096638656,50.0,206.0
16,SUNVASLR_ALL,89471.35941,83517.58621,5953.7732000000005,60252.100000000006,-6988.599999999999,34.58739495798319,44.982,2.739201680672269,4.906416666666667,30.439495798319328,0.33820115546218493,53.0,206.0
17,FLOWERII_RN,87678.34208999999,99386.25233999999,-11707.910250000003,9131.6,-26983.4,30.457983193277308,44.381,3.8294117647058825,8.565291666666665,6.52436974789916,-0.4516207107843135,95.0,206.0
18,PHO_ALL,79708.35661,79008.68161,699.675,13375.8,-2904.7,29.745798319327733,43.50034364261168,1.858781512605042,10.47115120274914,1.5638655462184874,-0.18260197829131647,150.0,200.0
19,EUNICE_ALL,72220.22869999999,84975.79282999999,-12755.564129999999,107042.5,-35602.5,29.54033613445378,44.42,3.59172268907563,16.924358333333334,214.54789915966387,-0.6126623774509803,18.0,206.0
20,ANCHOR_ALL,72043.56834,71415.84087,627.7274700000004,66875.6,-12667.0,31.662605042016807,46.36708333333333,0.9526890756302522,5.124991666666666,37.6827731092437,0.7273389355742296,36.3,206.0
21,DAN_ALL,71161.82399,85246.95723999999,-14085.133249999999,19491.8,-3744.9,31.123109243697478,42.5719696969697,4.368949579831932,8.25159090909091,12.568487394957984,-0.2624514180672268,76.3,204.0
22,NF_BRP_RN,66362.47545,7852.349749999999,58510.1257,13306.199999999999,-13821.8,29.20672268907563,47.12160804020101,2.895042016806723,14.147110552763818,8.563865546218487,0.04077337184873947,100.5,205.0
23,RN_SOLC_SLR,63166.03575,57256.32199999999,5909.713749999999,59560.5,-4478.1,30.70336134453781,37.74787581699346,15.54642857142857,9.060081699346403,11.72983193277311,-0.18105698529411773,0.0,159.0
24,HOUSEMTN_RN,59041.40055999999,59892.87870999999,-851.4781500000017,5858.499999999999,-17790.0,30.56512605042017,44.01491666666666,4.0626050420168065,8.249625,6.534033613445379,-0.35916491596638644,60.0,206.0
25,MUENSTER_RN,58410.21425,54821.223000000005,3588.9912499999996,13407.3,-4432.9,40.41974789915967,46.37927135678392,12.408109243697478,8.517617252931322,49.950420168067225,0.8275639005602241,9.9,205.0
26,BATCAVE_RN,46367.52339,39190.02518999999,7177.4982,59101.0,-13710.0,36.740336134453784,41.29551926298157,3.8720588235294118,5.262956448911224,14.303361344537814,1.887177871148459,100.5,205.0
27,ANG_ALL,42361.79099999999,17078.5685,25283.2225,169852.90000000002,-12989.4,30.668487394957985,29.779333333333334,2.8944537815126052,7.562666666666666,20.063445378151258,-0.06573354341736704,81.0,206.0
28,STADIUM_RN,40121.0281,20476.697350000002,19644.33075,11799.1,-4690.2,37.8390756302521,43.93617424242424,4.640084033613445,7.301505681818182,30.942857142857143,0.6551352415966387,9.9,182.0
29,RRC_WIND_ALL,35666.92127,23363.26702,12303.654249999996,35925.7,-2818.0,32.101680672268905,47.847166666666666,0.78109243697479,5.471349999999999,8.143697478991596,0.7563230917366947,75.0,206.0
