rank,resource_name,da_energy_rev,rt_energy_rev,deviation_penalty,regup_rev,regdn_rev,rrs_rev,ecrs_rev,nonspin_rev,total_rev,settlement_point,hsl,qse,company,capacity_mw,site,eff_capacity_mw,duration_hours,theoretical_rev_total,optimization_rate
1,CNLY_ESS_ESR1,1903004.8114999998,29856.88009722504,0.0,38608.42639899103,36355.6557716974,93555.3293399269,33328.144107047585,212503.3442872458,2347212.5915021338,CNLY_ESS_RN,125.0,QSUE76,YBTCOS,,,125.0,1.96,2230256.982325724,105.2
2,ANOL_ESS_ESR1,916844.6718333333,1064105.72868165,0.0,0.0,0.0,89400.10774690885,29777.81091952001,172370.15771914666,2272498.476900559,ANOL_ESS_RN,240.0,QESVEM,esVolta,247.1,Anole BESS,247.1,1.94,3259895.696414794,69.7
3,BOCO_ESS_ESR1,471194.5173333333,985075.871166725,0.0,784.1393332863694,2801.402991248247,200640.74516101627,23460.343836401637,94707.39575873247,1778664.4155807432,BOCO_ESS_RN,150.0,QTEN28,Aypa Power,154.0,BoCo BESS,154.0,1.95,2217987.606997277,80.2
4,WAL_ESR1,1257543.6679999998,-83315.291432625,0.0,59218.910777056655,37745.65738577051,40627.44685099133,151322.3504524564,315466.015555048,1778608.7575886978,WAL_RN,200.0,QSUE92,Tesla,200.0,Walstrom BESS,200.0,2.0,2000895.8068093671,88.9
5,AVIL_ESS_ESR1,724814.2984166667,305885.7264930083,0.0,67029.81914572843,20734.967067907764,238004.48758140145,209407.77932851968,103262.37866908357,1669139.456702316,AVIL_ESS_RN,160.0,QSU100,ENGIE,160.0,Avila BESS,160.0,2.0,2350933.092939609,71.0
6,SHAMROCK_ESR1,1086118.2650833332,567746.01711485,0.0,0.0,0.0,0.0,0.0,0.0,1653864.2821981832,SHAMROCK_RN,99.3,QFPL40,NextEra Energy Resources,99.3,Shamrock Energy Storage (SLF),99.3,2.62,1737183.6114750272,95.2
7,CACH_ESS_ESR1,459538.60699999996,335536.06508342497,0.0,82553.70884811705,34445.67081494787,202659.63064320566,255244.06167728754,275317.57661295816,1645295.3206799412,CACH_ESS_RN,200.0,QSU100,ENGIE,200.0,Cachi BESS,200.0,2.0,2336116.3002801123,70.4
8,BLVN_SLR_ESR1,1339586.8315,47966.43134083331,0.0,0.000151164982108,0.0001091049118176,47971.19571431947,54172.47863845899,130573.13448689839,1620270.0719407802,BLVN_RN,180.0,QSHEL8,National Grid Renewables,188.0,Blevins Storage,188.0,1.91,2560616.2526224954,63.3
9,CHIL_SLR_ESR1,1184633.9979166666,-352135.17944260826,0.0,105004.0698675963,50662.97674787315,296345.932498963,194753.2179971494,39728.7154767169,1518993.7310623568,CHIL_SLR,150.0,QSUE88,YSUEZ,,,150.0,2.25,1862885.661872948,81.5
10,GIGA_ESS_ESR1,962737.8725833334,59324.05794205832,0.0,24596.380394937376,20432.231413222413,76989.9951672406,129176.83367500943,125062.27681083117,1398319.6479866325,GIGA_ESS_RN,125.0,QSUE55,Tesla,128.0,Giga Texas Energy Storage,128.0,1.95,1465152.5474704537,95.4
11,ANDMDSLR_ESR2,1414929.0351666666,-267477.2655620499,0.0,11565.562908353091,13362.961992256722,56260.388656390394,21877.513459068643,139037.22718335188,1389555.4238040375,ANDMDSLR_ALL,78.1,QIPLU2,YIPLU2,,,78.1,2.04,1103385.260322514,125.9
12,TURQBESS_ESR1,772549.8610833334,248742.7424836583,0.0,2270.026928430698,3247.1148352076984,169684.6780095856,76643.35796405833,94922.05690012427,1368059.8382043983,TURQ_BESS1,188.0,QHEI3,YBTCUN,,,188.0,1.95,2573104.933040515,53.2
13,ANEM_ESS_ESR1,0.0,852506.6037138583,0.0,310960.86246608937,3320.8823704526485,129169.95341706157,10763.925036930124,32432.208663263373,1339154.4356676554,ANEM_ESS_RN,200.0,QSUE53,Plus Power,205.0,Anemoi Energy Storage,205.0,1.95,1867501.3555688183,71.7
14,JAG_SLR_ESR1,404362.40424999996,591569.9013060167,0.0,29029.93405622278,34257.23807593354,10783.860196209003,17237.924334997602,212881.6675073904,1300122.92972677,JAG_SLR_RN,150.0,QLCRA,SER Capital Partners,78.55,Jaguar BESS 1,78.55,2.16,1206927.8705894016,107.7
15,CARN_ESS_ESR1,406224.7965833333,56292.69088624166,0.0,152931.22211927723,49764.2420487392,259606.1169527583,303007.8064609721,23765.775297237662,1251592.6503485595,CARN_ESS_RN,150.0,QSU100,ENGIE,150.0,Carina BESS,150.0,2.0,1390308.4246929542,90.0
16,WFTANK_ESR1,69486.69725,367695.0996853583,0.0,9664.50009372237,6977.225068176526,615311.1866437986,69887.38368728514,84581.42100764989,1223603.5134359908,WFTANK_ESS1,150.0,QTEN28,Aypa Power,155.0,Wolf Tank,155.0,1.12,972637.530213419,125.8
17,BKSL_ESS_ESR1,443387.8524166667,603991.5585059166,0.0,2852.7637466280084,6245.261884254389,45852.504588279175,13263.63099607467,74215.58591603505,1189809.1580538545,BKSL_RN,100.0,QESVEM,esVolta,103.0,Burksol BESS,103.0,1.94,1402787.869475015,84.8
18,DSWL_ESS_ESR1,930159.3233333332,173569.606244625,0.0,6156.910276060859,2877.818391897243,16825.728161970856,17760.947550059678,24275.171071573608,1171625.5050295205,DSWL_BES1,150.0,QPHIL3,esVolta,150.0,Desert Willow BESS,150.0,2.0,2025307.5517317243,57.8
19,HYDR_ESS_ESR1,705612.5383333332,-73571.41915207502,0.0,57179.829269484944,11451.081010305934,244291.35231379722,182886.85075112828,40622.41547052876,1168472.6479965034,HYDR_ESS_RN,200.0,QSUE74,ENGIE,200.8,Hydra BESS,200.8,1.0,1738123.6637774617,67.2
20,RRANCHES_ESR1,5387.799999999999,1002225.2751594,0.0,70610.80482882007,1202.756248733982,543.5440488180864,28568.579459722692,8345.65986332664,1116884.4196088214,RRANCHES_ALL,150.0,QSUE51,Plus Power,150.0,Rodeo Ranch Energy Storage U1,150.0,2.0,2212325.5323863635,50.5
21,PINEFRST_ESR1,0.0,1116498.3677568166,0.0,0.0,0.0,0.0,0.0,0.0,1116498.3677568166,PINEFRST_RN,200.0,QTEN21,YPFHYB,,,200.0,1.98,2733461.219591933,40.8
22,EBNY_ESS_ESR1,0.0,1035815.6685867499,0.0,62877.55832128958,3347.646686981711,1639.9189654418694,8230.843191746419,-5396.14432661404,1106515.4914255955,EBNY_ESS_RN,200.0,QSUE52,Plus Power,203.5,Ebony Energy Storage,203.5,1.97,2392408.263114562,46.3
