rank,resource_name,da_energy_rev,rt_energy_rev,deviation_penalty,regup_rev,regdn_rev,rrs_rev,ecrs_rev,nonspin_rev,total_rev,settlement_point,hsl,qse,company,capacity_mw,site,eff_capacity_mw,duration_hours
1,ANOL_ESS_ESR1,920717.9270833333,1874626.791778825,0.0,0.0,0.0,90538.1332256399,31581.65110260355,240077.41822602678,3157541.9214164284,ANOL_ESS_RN,240.0,QESVEM,esVolta,247.1,Anole BESS,247.1,1.94
2,CNLY_ESS_ESR1,2025172.5005,454526.1837494334,0.0,50668.239240272575,62556.69256880278,109529.65134149686,41866.084924499984,355882.4107318361,3100201.7630563416,CNLY_ESS_RN,125.0,QSUE76,YBTCOS,,,125.0,1.96
3,WAL_ESR1,1703911.1683333332,-99431.287881225,0.0,75148.96770609064,54426.373962751655,60598.973071192,162114.84017080447,554607.4534904764,2511376.4888534234,WAL_RN,200.0,QSUE92,Tesla,200.0,Walstrom BESS,200.0,2.0
4,BOCO_ESS_ESR1,627582.5916666667,1457281.5641027,0.0,784.1393332863694,4367.166912685747,215533.04072443215,33784.619350789384,168080.200220919,2507413.322311479,BOCO_ESS_RN,150.0,QTEN28,Aypa Power,154.0,BoCo BESS,154.0,1.95
5,AVIL_ESS_ESR1,1259875.9653333332,396718.03752036666,0.0,89000.27805347406,29015.274849955804,260511.3184659644,249802.52138346856,117590.63465582531,2402514.0302623883,AVIL_ESS_RN,160.0,QSU100,ENGIE,160.0,Avila BESS,160.0,2.0
6,BLVN_SLR_ESR1,1787976.74775,312666.4541896833,0.0,0.000151164982108,0.0001091049118176,47073.15485961714,60646.151705608405,188183.0248481711,2396545.53361335,BLVN_RN,180.0,QSHEL8,National Grid Renewables,188.0,Blevins Storage,188.0,1.91
7,CACH_ESS_ESR1,917120.9351666666,410484.9886186666,0.0,110958.91965799787,42904.00603656722,230262.4263773744,305319.1283203783,299314.5965949337,2316365.0007725847,CACH_ESS_RN,200.0,QSU100,ENGIE,200.0,Cachi BESS,200.0,2.0
8,SHAMROCK_ESR1,1616033.7949166666,630545.6887374084,0.0,0.0,0.0,0.0,0.0,0.0,2246579.483654075,SHAMROCK_RN,99.3,QFPL40,NextEra Energy Resources,99.3,Shamrock Energy Storage (SLF),99.3,2.62
9,TURQBESS_ESR1,1064872.3320833333,527062.7781268749,0.0,2310.45160327792,3289.1636879993653,247241.7637400494,89716.04455367797,124319.22063989186,2058811.7544351048,TURQ_BESS1,188.0,QHEI3,YBTCUN,,,188.0,1.95
10,CHIL_SLR_ESR1,1435508.3245833332,-234154.89541820827,0.0,137582.76284324244,60515.362480815355,317991.27037656156,228133.9992108876,64831.360368262656,2010408.1844448943,CHIL_SLR,150.0,QSUE88,YSUEZ,,,150.0,2.25
