resource_name,settlement_point,hsl,qse,company,capacity_mw,site,eff_capacity_mw,duration_hours,da_energy_rev,rt_energy_rev,deviation_penalty,regup_rev,regdn_rev,rrs_rev,ecrs_rev,nonspin_rev,total_rev,rank,optimization_rate
ANOL_ESS_ESR1,ANOL_ESS_RN,240.0,QESVEM,esVolta,247.1,Anole BESS,247.1,1.94,945636.4307499999,1941349.4950337417,0.0,0.0,0.0,91855.6382066665,32684.788436459363,272034.924723989,3283561.2771508563,1,107.5733019756662
CNLY_ESS_ESR1,CNLY_ESS_RN,125.0,QSUE76,YBTCOS,,,125.0,1.96,2018990.8781666667,471656.01982472505,0.0,62675.20614037794,77060.4412528578,111165.70896039299,49470.11640779835,385786.8349264492,3176805.2056792676,2,116.5558152681318
WAL_ESR1,WAL_RN,200.0,QSUE92,Tesla,200.0,Walstrom BESS,200.0,2.0,1746174.1379166665,-78370.33025023332,0.0,88979.90072094949,64802.90050500531,63432.246776725035,185642.55700081194,604143.5017991996,2674804.9144691247,3,184.36858391026647
BOCO_ESS_ESR1,BOCO_ESS_RN,150.0,QTEN28,Aypa Power,154.0,BoCo BESS,154.0,1.95,653499.5456666667,1518668.9004168166,0.0,822.9263155348901,7492.17424601908,222138.4237031205,40950.33656140341,194127.62088314304,2637699.927792704,4,153.99448250988027
AVIL_ESS_ESR1,AVIL_ESS_RN,160.0,QSU100,ENGIE,160.0,Avila BESS,160.0,2.0,1367943.2376666665,403213.06331002497,0.0,90764.57620437902,31427.973008589062,262362.1577157704,255312.98000006334,130203.75450249054,2541227.742407984,5,73.79425203624122
BLVN_SLR_ESR1,BLVN_RN,180.0,QSHEL8,National Grid Renewables,188.0,Blevins Storage,188.0,1.91,1868395.88975,302004.44351054163,0.0,0.000151164982108,0.0001091049118176,47508.896110379676,61742.84140569618,209241.42632477803,2488893.497361665,6,97.8521853015663
SHAMROCK_ESR1,SHAMROCK_RN,99.3,QFPL40,NextEra Energy Resources,99.3,Shamrock Energy Storage (SLF),99.3,2.62,1678415.1259166666,723235.9116100667,0.0,0.0,0.0,0.0,0.0,0.0,2401651.0375267332,7,142.80291682807916
CACH_ESS_ESR1,CACH_ESS_RN,200.0,QSU100,ENGIE,200.0,Cachi BESS,200.0,2.0,987539.1521666666,397822.6270123916,0.0,114652.47289704181,43925.060128500976,231418.940705009,311577.22339657554,310548.4931217487,2397483.9694279344,8,88.03294035558422
TURQBESS_ESR1,TURQ_BESS1,188.0,QHEI3,YBTCUN,,,188.0,1.95,1110616.7200833333,535991.6581343582,0.0,2310.45160327792,3289.1636879993653,256176.42978063124,101473.10895728711,132765.05676770362,2142622.5890145907,9,83.35239160155051
CHIL_SLR_ESR1,CHIL_SLR,150.0,QSUE88,YSUEZ,,,150.0,2.25,1474305.5640833331,-236079.5550760416,0.0,139904.66996353903,62629.1230513357,319002.08063669194,233366.0287727531,75690.81175446503,2068818.7231860762,10,82.88952387532144
