rank,resource_name,da_energy_rev,rt_energy_rev,deviation_penalty,regup_rev,regdn_rev,rrs_rev,ecrs_rev,nonspin_rev,total_rev,settlement_point,hsl,qse,company,capacity_mw,site,eff_capacity_mw,duration_hours,optimization_rate
1,ANOL_ESS_ESR1,1078000.1319166666,2235051.0283181416,0.0,0.0,0.0,95930.94831525121,39911.51249663361,359377.2891084582,3808270.910155151,ANOL_ESS_RN,240.0,QESVEM,esVolta,247.1,Anole BESS,247.1,1.94,75.09266475801563
2,CNLY_ESS_ESR1,2089996.1130833335,634560.5893476501,0.0,104373.18480841568,148471.6819554656,115856.2765707306,70088.95210366628,480149.10623760533,3643495.904106867,CNLY_ESS_RN,125.0,QSUE76,YBTCOS,,,125.0,1.96,140.79190745710716
3,BOCO_ESS_ESR1,720245.723,1858728.7250823083,0.0,822.9263155348901,7523.157495069047,229729.64430870704,58554.3668221493,262152.8212446577,3137757.3642684263,BOCO_ESS_RN,150.0,QTEN28,Aypa Power,154.0,BoCo BESS,154.0,1.95,106.80347594218516
4,WAL_ESR1,1841009.7892499997,54716.17311166667,0.0,111342.87125108385,92016.01421832546,70915.26404399889,226497.53662787483,718116.4017622988,3114614.0502652484,WAL_RN,200.0,QSUE92,Tesla,200.0,Walstrom BESS,200.0,2.0,104.95466961829078
5,AVIL_ESS_ESR1,1688526.5432499999,494671.8757167833,0.0,115653.49546744645,37689.78380796428,270648.21317778836,275372.5155676971,200313.49131723333,3082875.9183049127,AVIL_ESS_RN,160.0,QSU100,ENGIE,160.0,Avila BESS,160.0,2.0,91.1775700243707
6,CACH_ESS_ESR1,1256292.2778333332,492684.6945108082,0.0,132346.30972585862,49359.627240995505,247160.90988482835,332832.44273863884,371011.37952944695,2881687.6414639098,CACH_ESS_RN,200.0,QSU100,ENGIE,200.0,Cachi BESS,200.0,2.0,79.69832290461224
7,BLVN_SLR_ESR1,2173339.7130833333,274661.0737607,0.0,370.5001511649821,293.4043177854674,48811.482832356545,66742.96880772687,277076.2340712696,2841295.3770243363,BLVN_RN,180.0,QSHEL8,National Grid Renewables,188.0,Blevins Storage,188.0,1.91,70.8599176257645
8,SHAMROCK_ESR1,1978211.9411666666,805043.286882275,0.0,0.0,0.0,0.0,0.0,0.0,2783255.228048941,SHAMROCK_RN,99.3,QFPL40,NextEra Energy Resources,99.3,Shamrock Energy Storage (SLF),99.3,2.62,92.61949847862063
9,TURQBESS_ESR1,1304314.6867499996,634138.6695698665,0.0,2728.180251572792,3444.6718270826987,279458.8214813676,143868.12976516763,174193.04883445665,2542146.208479514,TURQ_BESS1,188.0,QHEI3,YBTCUN,,,188.0,1.95,71.20503933836395
10,CHIL_SLR_ESR1,1669129.6165833331,-242919.76464447496,0.0,153638.35497874286,66114.82066186843,329272.7168071474,243783.38508616068,104291.67442540446,2323310.8038981818,CHIL_SLR,150.0,QSUE88,YSUEZ,,,150.0,2.25,59.46914537273725
11,BLSUMMIT_ESR2,639595.4156666667,1654083.2356394832,0.0,0.0,0.0,0.0,0.0,0.0,2293678.6513061495,BLSMT1_5_A_6,150.0,QFPL48,NextEra Energy Resources,15.0,Blue Summit,15.0,0.42,5151.624044452674
12,PINEFRST_ESR1,42397.7585,2211858.572775449,0.0,3390.9835487475343,7398.335471102827,13.997909666666668,333.511478974811,12960.065856081443,2278353.2255400224,PINEFRST_RN,200.0,QTEN21,YPFHYB,,,200.0,1.98,48.13947260947505
13,DSWL_ESS_ESR1,1723896.65,256775.27962335004,0.0,18058.577862716775,22122.61969457321,41703.7039425576,35633.43405355328,134212.01154231053,2232402.276719061,DSWL_BES1,150.0,QPHIL3,esVolta,150.0,Desert Willow BESS,150.0,2.0,92.438794371309
14,JAG_SLR_ESR1,638292.9920833333,1055876.8154975667,0.0,47941.662937633366,84747.24699466767,12375.12850531317,36586.16670519144,341557.42956418055,2217377.442287886,JAG_SLR_RN,150.0,QLCRA,SER Capital Partners,78.55,Jaguar BESS 1,78.55,2.16,152.20405300544905
15,ANEM_ESS_ESR1,0.0,1536937.031403625,0.0,331942.59092746995,17547.044353576403,130121.49707747037,25152.360407848108,131605.989269217,2173306.513439207,ANEM_ESS_RN,200.0,QSUE53,Plus Power,205.0,Anemoi Energy Storage,205.0,1.95,51.647133870087174
16,RRANCHES_ESR1,5387.799999999999,1939299.0152840167,0.0,85089.91796499699,7745.79940401377,1827.5512071082458,36897.82786089075,90432.01007685142,2166679.9217978776,RRANCHES_ALL,150.0,QSUE51,Plus Power,150.0,Rodeo Ranch Energy Storage U1,150.0,2.0,56.80349776713126
17,GIGA_ESS_ESR1,1361471.7405833332,90866.84792774999,0.0,58657.40417158874,58013.218865022514,106710.14811803633,180160.69486969514,308032.19236059784,2163912.246896024,GIGA_ESS_RN,125.0,QSUE55,Tesla,128.0,Giga Texas Energy Storage,128.0,1.95,85.38337215701628
18,ANDMDSLR_ESR2,1599327.3320833335,37839.68556186672,0.0,19025.81570311513,34604.08206208943,65387.053201575305,45594.04445288154,312077.5341862559,2113855.547251117,ANDMDSLR_ALL,78.1,QIPLU2,YIPLU2,,,78.1,2.04,113.96428734168204
19,EBNY_ESS_ESR1,0.0,1890546.7235075831,0.0,82113.54767457578,13926.615210314632,3533.8405552960435,15627.024573237337,72516.92076065566,2078264.6722816632,EBNY_ESS_RN,200.0,QSUE52,Plus Power,203.5,Ebony Energy Storage,203.5,1.97,54.58710846840631
20,LON_ESR1,803514.5423333334,427889.59065704164,0.0,179456.13742059632,106128.50015484422,78618.57694809206,145103.74066533352,309198.9843535635,2049910.0725328045,LON_RN1,174.0,QTEN26,Tokyo Gas America,174.0,Longbow BESS,174.0,2.0,69.51452244219485
21,CARN_ESS_ESR1,944016.5404166665,64895.155015033335,0.0,206378.62446013273,73604.26587412639,297043.82277160516,385819.5801210726,31705.603494043797,2003463.5921526807,CARN_ESS_RN,150.0,QSU100,ENGIE,150.0,Carina BESS,150.0,2.0,75.99899819451016
22,TBWF_ESS_ESR1,0.0,1724233.951120433,0.0,18603.460663741116,17408.16518680462,83660.42703314078,35334.52268451452,111633.43231577279,1990873.9590044068,TBWF_ES_BES1,150.0,QTEN29,Spearmint Energy,150.0,Timberwolf Bess,150.0,2.0,59.60240427413622
23,RRANCHES_ESR2,0.0,1778501.8433565584,0.0,59738.1605194172,8801.6621933979,1491.6087081368773,39605.280538681975,93079.56145898765,1981218.1167751797,RRANCHES_ALL,150.0,QSUE51,Plus Power,150.0,Rodeo Ranch Energy Storage U1,150.0,2.0,51.669356705875686
24,HYDR_ESS_ESR1,1269887.3051666664,-93100.31430364169,0.0,101357.05024577174,32739.837178890448,323619.5637052756,244872.45929032995,100856.22022896123,1980232.1215122542,HYDR_ESS_RN,200.0,QSUE74,ENGIE,200.8,Hydra BESS,200.8,1.0,70.68738144943674
25,BKSL_ESS_ESR1,463263.09508333326,1199329.7745842915,0.0,2852.7637466280084,6245.261884254389,49497.51107298699,15916.287133380018,159833.1029847976,1896937.7964896716,BKSL_RN,100.0,QESVEM,esVolta,103.0,Burksol BESS,103.0,1.94,82.689266889888
26,HMNG_ESS_ESR1,96340.27691666664,1212013.3751562666,0.0,512.3965048410915,2369.131416048005,47442.026164183946,146821.45874380233,339364.42028652865,1844863.0851883371,HMNG_ESS_RN,100.0,QMEA8,Key Capture Energy,103.8,Hummingbird Storage,103.8,2.19,67.62121065742346
27,JAG_SLR_ESR2,69976.11249999999,1664115.1504781833,0.0,0.0001435646661238,2.698944216166859e-05,0.0001414922684147,1311.2852562434368,2286.687053843709,1737689.235600317,JAG_SLR_RN,150.0,QMITS2,SER Capital Partners,78.55,Jaguar BESS 1,78.55,2.16,106.50247473061548
28,SGAL_BES_ESR2,0.0,1441343.5639149165,0.0,6747.383119196834,7323.833932745962,58271.311970954615,34407.61947948186,142073.70638108978,1690167.4187983857,SG_BES_BESS1,100.0,QJPEM2,Jupiter Power,103.5,St. Gall 2 Energy Storage,103.5,1.95,76.80427615688455
29,PHO_ESR2,369678.521,713764.7866420749,0.0,241.8605630946737,1652.524683210503,127862.4627593486,104854.0466968611,365402.6756604927,1683456.8780050827,PHO_ALL,150.0,QENE15,Enel North America,150.0,Photon BESS 1,150.0,1.55,61.75819323512419
30,RRC_WIND_ESR2,800694.0712499999,879056.7498992332,0.0,0.0,0.0,0.0,0.0,0.0,1679750.8211492335,RRC_WIND_ALL,75.0,QFPL35,YNEXTE,,,75.0,2.98,94.04967293801528
31,PHO_ESR1,513557.0624166666,543405.2438848751,0.0,10270.504208569577,11349.588439044028,122807.07345059693,103862.75588136396,370472.020612134,1675724.2488932502,PHO_ALL,150.0,QENE15,Enel North America,150.0,Photon BESS 1,150.0,1.55,62.9321106474921
32,JAR_ESR2,821749.7792499999,296008.256796225,0.0,1147.6940800531572,1428.4768824836588,296345.3449916912,105496.09836755606,143842.71088658486,1666018.3612545938,JAR_RN,156.0,QHEI1,SMT Energy,154.2,Jarvis BESS U1,154.2,1.43,89.37747955150722
33,SWOOSEII_ESR1,368294.4368333333,724764.5910797083,0.0,530.6317999325122,1897.2289748780545,79516.67533463523,146759.42666510327,338501.2647494629,1660264.2554370535,SWOOSEII_RN,100.0,QMEA5,Jupiter Power,101.0,Swoose 2,101.0,2.03,50.480173698714246
