resource_name,da_energy_rev,rt_energy_rev,deviation_penalty,regup_rev,regdn_rev,rrs_rev,ecrs_rev,nonspin_rev,total_rev,settlement_point,hsl,qse,company,capacity_mw,energy_mwh,site,eff_capacity_mw,tb_index,theoretical_rev,duration_hours,optimization_rate
ABINDUST_ESR1,0.0,-20.375580341666666,0.0,0.0,0.0,0.0,0.0,0.0,-20.375580341666666,ABINDUST_RN,9.9,QMP2M1,YDIST,,,,9.9,44.245187878787874,438.02736,2.14,-4.651668412143631
ADL_ESR1,1206.0,-284.93760833333346,0.0,409.95,0.0,356.25,0.0,19.512,1706.7743916666666,ADL_RN,60.0,QTEN26,YLIB1S,,,,60.0,62.89745,3773.8469999999998,0.96,45.2263801809312
AE_ESR1,163.93499999999997,-109.83204083333334,0.0,0.0,0.0,33.345,20.43,68.356,176.23395916666664,AE_RN,9.9,QTEN26,TotalEnergies,149.2,244.0,Myrtle Storage U1,149.2,45.66142091152815,6812.683999999999,1.64,2.5868506328293908
ALAMO_ST_ESR1,0.0,623.6750238416666,0.0,0.0,0.0,0.0,0.0,0.0,623.6750238416666,ALAMO_ST_RN,9.9,QSYSO,YALCEC,,,,9.9,66.05542696969698,653.9487270000002,1.88,95.37063046254183
ALP_BESS_ESR1,0.0,5445.978006666666,0.0,0.0,0.0,194.068,72.133,124.62000000000002,5836.799006666666,ALP_BESS_RN,100.3,QHEI1,YHABIT,,,,100.3,71.04654965104686,7125.96893,1.39,81.90884725997067
ALVIN_ESR1,-52.97299999999999,-13.82345301666668,0.0,55.159,9.146,12.666,10.687999999999999,0.0,20.862546983333324,ALVIN_RN,7.4,QSUE74,ENGIE,10.0,10.0,Alvin (DGR),10.0,139.8025,1398.025,1.0,1.4922871181368946
AMAD_ESS_ESR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMAD_ESS_RN,0.0,QGRIE4,YBTAMS,,,,0.0,92.04373597453383,0.0,1.42,0.0
ANCHOR_ESR1,2.6659999999999995,258.8535833333333,0.0,0.0,0.0,0.0,0.0,294.65000000000003,556.1695833333333,ANCHOR_ALL,35.2,QENE11,Enel North America,35.75,56.5,Anchor BESS 1,35.75,62.274877622377616,2226.3268749999997,1.58,24.98148809946578
ANCHOR_ESR2,2.6659999999999995,410.91099999999994,0.0,0.0,0.0,0.0,0.0,294.65000000000003,708.227,ANCHOR_ALL,36.3,QENE11,Enel North America,35.75,56.5,Anchor BESS 1,35.75,62.274877622377616,2226.3268749999997,1.58,31.811456257967514
ANDMDSLR_ESR1,1608.9840000000002,1350.3970344833328,0.0,0.89,363.86400000000003,95.845,15.975,3600.7210000000005,7036.676034483333,ANDMDSLR_ALL,81.9,QIPLU2,YIPLU2,,,,81.9,61.76636092796093,5058.664960000001,1.54,139.1014445535316
ANDMDSLR_ESR2,1535.571,1479.0956804416664,0.0,0.534,346.917,74.60300000000001,3.195,3517.707,6957.6226804416665,ANDMDSLR_ALL,78.1,QIPLU2,YIPLU2,,,,78.1,64.60024801536493,5045.27937,1.62,137.9036158396451
ANEM_ESS_ESR1,0.0,12061.024074358333,0.0,0.0,0.0,0.0,0.0,0.0,12061.024074358333,ANEM_ESS_RN,200.0,QSUE53,Plus Power,205.0,400.0,Anemoi Energy Storage,205.0,53.10158536585366,10885.825,1.95,110.79568222305917
ANGLETON_ESR1,62.19500000000001,94.7852077083333,0.0,64.889,6.586,14.656,13.14,0.0,256.2512077083333,BRPANGLE_RN,9.9,QSUE74,ENGIE,19.9,19.9,BRP Angleton (DGR),19.9,59.52980769230769,1184.643173076923,1.0,21.63108803832984
ANG_SLR_ESR1,0.0,71.71875612499998,0.0,0.0,0.0,142.2,0.0,37.5,251.41875612499996,ANG_ALL,91.0,QTEN26,Apex Clean Energy,103.0,200.0,Angelo Storage,103.0,90.50980582524271,9322.509999999998,1.94,2.6968998276751646
ANOL_ESS_ESR1,0.0,1594.8001941666673,0.0,0.0,0.0,0.0,338.4,994.84,2928.0401941666673,ANOL_ESS_RN,240.0,QESVEM,esVolta,247.1,480.0,Anole BESS,247.1,114.4751112909753,28286.8,1.94,10.351259931016118
ANTL_ESS_ESR1,2739.80725,1565.83765,0.0,520.393,248.108,133.608,248.17199999999997,108.44399999999999,5564.3699,ANTL_ESS_ES1,70.0,QSU100,ENGIE,72.4,140.0,Antlia BESS,72.4,77.09273480662982,5581.513999999999,1.93,99.69284140467981
APPLE_ESR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,APPLE_ESR_RN,0.0,QTEN26,YAPPFR,,,,0.0,52.560670361378314,0.0,1.42,0.0
ARY_BESS_ESR1,0.0,-9.151390866666665,0.0,0.0,0.0,0.0,0.0,0.0,-9.151390866666665,ARY_BESS_RN,0.0,QTEN32,YBTCS,,,,0.0,63.28529558476164,0.0,1.42,0.0
AVIL_ESS_ESR1,8338.754,-3952.5884959333334,0.0,1245.396,317.359,173.124,396.44399999999996,183.568,6702.056504066667,AVIL_ESS_RN,160.0,QSU100,ENGIE,160.0,320.0,Avila BESS,160.0,63.53,10164.8,2.0,65.93397316294141
AZURE_ESR1,414.05899999999986,-372.6815719166666,0.0,0.0,0.0,0.0,0.0,790.6700000000001,832.0474280833333,AZURE_RN,77.6,QENEL6,Enel North America,77.2,116.0,Azure Sky Solar,77.2,68.13695595854922,5260.173,1.5,15.81787192328719
BATCAVE_ESR1,745.5000000000001,153.8359816666667,0.0,103.96799999999999,13.394,143.801,189.45,0.0,1349.948981666667,BATCAVE_RN,100.5,QSUE74,ENGIE,100.5,110.0,Bat Cave,100.5,46.21558457711443,4644.66625,1.09,29.06449912664159
BAY_CITY_ESR1,0.0,688.6665494916666,0.0,0.0,0.0,0.0,0.0,0.0,688.6665494916666,BAYC_BESS_RN,9.9,QTEN24,SMT Energy,9.9,9.9,Bay City,9.9,75.32442307692308,745.7117884615385,1.0,92.35022969295407
BCK_ESR1,0.0,6710.239640125,0.0,0.0,0.0,0.0,0.0,0.0,6710.239640125,BCK_RN,123.5,QHEI5,YOL300,,,,123.5,127.26404541295548,15717.109608500003,2.24,42.69385279654741
BCK_ESR2,0.0,6125.4302487333325,0.0,0.0,0.0,0.0,0.0,0.0,6125.4302487333325,BCK_RN,126.5,QHEI5,YOL300,,,,126.5,119.87672831134083,15164.406131384614,2.0,40.393472686384975
BCNV2_ES_ESR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BCNV2_ES_RN,0.0,QSU115,YBOCP2,,,,0.0,184.5962131241344,0.0,1.42,0.0
BCNV_ESS_ESR1,238.21500000000015,-5902.579097666667,0.0,0.0,0.0,2.0999999999999996,217.052,1807.958,-3637.2540976666664,BCNV_RN,150.0,QSHE11,Nightpeak Energy,150.0,300.0,Bocanova BESS,150.0,56.46000000000002,8469.000000000004,2.0,-42.94785804305898
BELD_ESR1,0.0,201.89266898333332,0.0,0.0,5.53,44.95,11.85,81.26,345.4826689833333,TRIPBUT1_RN,7.5,QJPEM,Jupiter Power,7.5,15.0,Triple Butte (DGR),7.5,69.64249999999998,522.3187499999999,2.0,66.14402967217497
BEXAR_ES_ESR1,4193.1810000000005,-2356.156936016667,0.0,0.0,0.0,0.0,0.0,355.458,2192.482063983334,BEXAR_ES_RN,100.0,QTEN32,YBEXES,,,,100.0,60.51956981000001,6051.956981000001,0.87,36.22765447386007
BIG_STAR_ESR1,0.0,3260.47696115,0.0,0.0,0.0,0.0,0.0,0.0,3260.47696115,BIGSTAR_ALL,80.0,QECNR,YEONCR,,,,80.0,70.25630266153846,5620.504212923077,1.32,58.010399736971486
BIRD_BES_ESR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,1.42,0.0
BKSL_ESS_ESR1,0.0,3497.7594256916664,0.0,0.0,0.0,0.0,141.0,398.77200000000005,4037.5314256916663,BKSL_RN,100.0,QESVEM,esVolta,103.0,200.0,Burksol BESS,103.0,42.393203883495154,4366.500000000001,1.94,92.46608097312871
BLACKSPR_ESR1,22772.819,-31181.177698024996,0.0,0.0,32.02,0.0,205.2,937.124,-7234.0146980249965,BLACKSPR_RN,120.0,QBROO2,YBLKSP,,,,120.0,120.69615363333335,14483.538436000003,2.09,-49.94645976872799
BLSUMMIT_ESR1,0.0,14.631139999999998,0.0,0.0,0.0,0.0,0.0,0.0,14.631139999999998,BLSMT1_5_A_6,30.0,QFPL12,NextEra Energy Resources,15.0,6.3,Blue Summit,15.0,18.60285,279.04275,0.42,5.24333278682209
BLSUMMIT_ESR2,0.0,693.1725864666666,0.0,0.0,0.0,0.0,0.0,0.0,693.1725864666666,BLSMT1_5_A_6,150.0,QFPL48,NextEra Energy Resources,15.0,6.3,Blue Summit,15.0,18.60285,279.04275,0.42,248.41089276344454
BLUEJAY_ESR1,1198.791,-1779.965904475,0.0,0.0,0.0,0.0,0.0,455.776,-125.39890447499994,BLUEJAY_RN,50.0,QENEL7,Enel North America,51.4,84.8,Blue Jay,51.4,114.16999027237354,5868.3375,1.65,-2.1368727424930816
BLVN_SLR_ESR1,8244.0,4820.482062000001,0.0,0.0,0.0,0.0,216.0,2059.2,15339.682062,BLVN_RN,180.0,QSHEL8,National Grid Renewables,188.0,360.0,Blevins Storage,188.0,146.7326595744681,27585.74,1.91,55.60728862811003
BOCO_ESS_ESR1,0.0,7634.797162091667,0.0,0.0,0.0,511.31,486.19,1898.3600000000001,10530.657162091667,BOCO_ESS_RN,150.0,QTEN28,Aypa Power,154.0,300.0,BoCo BESS,154.0,97.86873376623376,15071.785,1.95,69.87000651941139
BRAZORIA_ESR1,109.61,63.13139666666665,0.0,66.755,9.200000000000001,6.526,11.174,0.0,266.39639666666665,BRP_BRAZ_RN,9.9,QSUE74,ENGIE,10.0,10.0,Brazoria (DGR),10.0,59.50461538461538,595.0461538461537,1.0,44.76903093058932
BR_ARROW_ESR1,0.0,-887.6801142583334,0.0,0.0,0.0,35.25,83.03999999999999,0.0,-769.3901142583335,BR_ARROW_ALL,48.3,QECNR,RWE,51.05,98.4,Bright Arrow Storage U1,51.05,105.87001958863863,5404.664500000002,1.93,-14.235668361252271
BR_ARROW_ESR2,0.0,3601.536159825,0.0,0.0,0.0,0.0,0.0,0.0,3601.536159825,BR_ARROW_ALL,51.7,QECNR,RWE,51.05,98.4,Bright Arrow Storage U1,51.05,105.87001958863863,5404.664500000002,1.93,66.63755279953082
BUDA_ESR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BUDA_RN,0.0,QTEN26,YBUDAI,,,,0.0,70.96161178937795,0.0,1.42,0.0
BYP_ESR1,0.0,12526.058514016666,0.0,0.0,0.0,0.0,0.0,0.0,12526.058514016666,BYP_RN,200.0,QEXELO,YEXELO,,,,200.0,122.47344903846155,24494.68980769231,2.24,51.1378531933194
BYRDR_ES_ESR1,77.639,894.4582249999999,0.0,0.0,0.0,99.288,55.842999999999996,0.0,1127.2282249999998,BYRDR_ES_ALL,50.0,QHABIT,GlidePath,50.0,50.0,Byrd Ranch,50.0,59.464038461538465,2973.2019230769233,1.0,37.91293878329823
BY_ESR1,0.0,-3.133088425,0.0,0.0,0.0,0.0,0.0,0.0,-3.133088425,RN_BY_ESR1,0.0,QPROLO,YESTHB,,,,0.0,41.084845787991135,0.0,1.42,0.0
CACH_ESS_ESR1,2766.3519999999994,216.821582808333,0.0,409.214,173.311,228.867,584.6659999999999,230.84,4610.071582808333,CACH_ESS_RN,200.0,QSU100,ENGIE,200.0,400.0,Cachi BESS,200.0,88.63961538461538,17727.923076923078,2.0,26.004577991481636
CAMWIND_ESR1,0.0,327.42279791666664,0.0,0.0,0.0,0.0,0.0,169.43,496.85279791666665,CAMWIND_RN,8.0,QTEN26,Ingka Investments,16.4,32.8,Cameron Storage,16.4,88.9725,1459.149,2.0,34.05086100985346
CARA_ESS_ESR1,0.0,-270.60984666666667,0.0,0.0,0.0,0.0,0.0,0.0,-270.60984666666667,CARA_ESS_RN,98.3,QHEI8,YHEI8,,,,98.3,32.3783944024038,3182.7961697562932,1.42,-8.502267573339052
CARN_ESS_ESR1,2773.211,-1165.892075608333,0.0,438.626,303.878,137.89100000000002,321.674,0.0,2809.3879243916667,CARN_ESS_RN,150.0,QSU100,ENGIE,150.0,300.0,Carina BESS,150.0,33.90749999999999,5086.124999999999,2.0,55.23631299646916
CARRIZO_ESR1,605.0179999999999,-862.4044339416666,0.0,0.0,0.0,0.0,0.0,0.0,-257.3864339416667,CARRIZO_ESR1,9.8,QTEN30,YREGCS,,,,9.8,70.88819637755103,694.7043245000001,1.3,-37.04978144866388
CARTWHL_ESR1,0.0,10719.892039933333,0.0,0.0,0.0,0.0,0.0,0.0,10719.892039933333,CARTWHL_RN,150.0,QECNR,YEONCR,,,,150.0,104.42652352,15663.978528,1.85,68.43658538455661
CASL_GAP_ESR1,0.0,172.21059916666664,0.0,0.0,0.0,0.0,0.0,0.0,172.21059916666664,CASL_GAP_UN1,3.9,QLUMN1,Luminant,9.9,42.0,Castle Gap Battery,9.9,116.01394522144523,1148.5380576923078,4.24,14.993895762816917
CAST_ESS_ESR1,0.0,-78.34893257499999,0.0,0.0,0.0,0.0,0.0,0.0,-78.34893257499999,CAST_ESS_RN,200.0,QSUE79,YSUEZ,,,,200.0,39.51059326476961,7902.118652953922,1.42,-0.9914927377825702
