date,energy_virtual_mwh_perleg,energy_virtual_mwh_net,da_sales_mwh,da_purchases_mwh,rt_gen_mwh,rt_consumption_mwh,da_award_rrs_mwh,da_award_ecrs_mwh,da_award_ns_mwh,da_award_as_total_mwh,da_revenue_rrs_usd,da_revenue_ecrs_usd,da_revenue_ns_usd,da_revenue_regup_usd,da_revenue_regdn_usd,rt_as_imbalance_usd,rt_reldepl_imbalance_usd,hours_with_data
2026-01-01,247.3,247.21,150.0,50.0,14.29,33.05,0.0,0.0,840.0,840.0,0.0,0.0,1603.7,0.0,0.0,0.0,0.0,24
2026-01-02,485.45,485.43,350.3,120.0,52.23,63.41,120.0,0.0,735.0,855.0,118.4,0.0,1347.5,0.0,0.0,0.0,0.0,24
2026-01-03,724.02,724.02,700.4,0.0,96.81,120.43,0.0,0.0,864.0,864.0,0.0,0.0,2062.08,0.0,0.0,0.0,0.0,24
2026-01-04,409.44,407.95,200.6,200.0,71.94,92.53,0.0,0.0,864.0,864.0,0.0,0.0,1530.36,0.0,0.0,0.0,0.0,24
2026-01-05,1057.96,1057.96,1050.2,0.0,69.93,77.69,0.0,0.0,864.0,864.0,0.0,0.0,1477.44,0.0,0.0,0.0,0.0,24
2026-01-06,528.17,528.11,0.6,393.0,122.47,129.27,0.0,0.0,846.0,846.0,0.0,0.0,1937.28,0.0,0.0,0.0,0.0,24
2026-01-07,897.74,897.48,100.0,774.6,135.64,159.23,0.0,0.0,1080.0,1080.0,0.0,0.0,1527.3,0.0,0.0,0.0,0.0,24
2026-01-08,1094.89,1094.89,975.1,100.0,98.19,124.74,0.0,0.0,1392.0,1392.0,0.0,0.0,2042.18,0.0,0.0,0.0,0.0,24
2026-01-09,771.18,771.15,780.9,25.0,87.24,102.31,0.0,0.0,1680.0,1680.0,0.0,0.0,2066.4,0.0,0.0,0.0,0.0,24
2026-01-10,238.89,237.25,0.0,0.0,79.37,159.51,0.0,0.0,1050.0,1050.0,0.0,0.0,2031.4,0.0,0.0,0.0,0.0,24
2026-01-11,790.75,790.73,325.3,230.7,182.82,148.52,0.0,490.0,1190.0,1680.0,0.0,1034.6,2190.3,0.0,0.0,0.0,0.0,24
2026-01-12,665.23,665.22,532.1,112.8,2.8,136.15,0.0,400.0,1425.0,1825.0,0.0,1936.0,3217.5,0.0,0.0,0.0,0.0,24
2026-01-13,662.1,662.08,455.0,300.0,177.12,83.63,0.0,400.0,1520.0,1920.0,0.0,964.8,2641.6,0.0,0.0,0.0,0.0,24
2026-01-14,1778.24,1778.2,1750.2,0.0,190.31,218.31,0.0,0.0,1969.0,1969.0,0.0,0.0,3091.51,0.0,0.0,0.0,0.0,24
2026-01-15,1519.98,1519.98,1500.0,60.0,189.61,212.18,0.0,0.0,2136.0,2136.0,0.0,0.0,4292.47,0.0,0.0,0.0,0.0,24
2026-01-16,1854.68,1854.0,1700.0,300.0,131.15,167.77,0.0,0.0,2136.0,2136.0,0.0,0.0,2818.63,0.0,0.0,0.0,0.0,24
2026-01-17,927.66,927.12,800.0,0.0,65.06,177.05,0.0,0.0,2136.0,2136.0,0.0,0.0,3363.31,0.0,0.0,0.0,0.0,24
2026-01-18,979.1,978.94,940.0,50.0,189.5,118.88,0.0,0.0,2136.0,2136.0,0.0,0.0,3934.69,0.0,0.0,0.0,0.0,24
2026-01-19,1690.92,1690.92,1400.0,100.0,100.56,160.43,0.0,0.0,2136.0,2136.0,0.0,0.0,3061.6,0.0,0.0,0.0,0.0,24
2026-01-20,623.46,623.34,370.0,166.0,34.73,122.08,0.0,0.0,2136.0,2136.0,0.0,0.0,5027.61,0.0,0.0,0.0,0.0,24
2026-01-21,696.58,696.58,150.0,450.0,96.92,0.09,0.0,0.0,2136.0,2136.0,0.0,0.0,3003.75,0.0,0.0,0.0,0.0,24
2026-01-22,752.39,752.39,200.0,580.0,146.04,174.18,0.0,0.0,1260.0,1260.0,0.0,0.0,2347.1,0.0,0.0,0.0,0.0,24
2026-01-23,1713.19,1713.19,774.5,1200.0,86.89,265.65,0.0,560.0,1360.0,1920.0,0.0,440.8,1806.4,0.0,0.0,0.0,0.0,24
2026-01-24,42.28,42.28,0.0,0.0,9.46,32.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
2026-01-25,108.02,106.14,0.0,0.0,66.24,41.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
2026-01-26,277.64,277.31,0.0,0.0,177.52,100.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
2026-01-27,1761.73,1761.73,1750.0,0.0,89.7,101.43,595.0,340.0,1105.0,2040.0,4223.65,12519.65,7529.3,0.0,0.0,0.0,0.0,24
2026-01-28,2003.86,2003.86,1975.0,0.0,118.16,147.02,0.0,450.0,1710.0,2160.0,0.0,5626.8,6674.4,0.0,0.0,0.0,0.0,24
2026-01-29,1996.11,1996.1,1700.0,0.0,229.15,260.21,0.0,0.0,1740.0,1740.0,0.0,0.0,9094.3,0.0,0.0,0.0,0.0,24
2026-01-30,2118.53,2118.53,2100.0,0.0,101.19,119.72,0.0,270.0,1890.0,2160.0,0.0,4298.4,6045.3,0.0,0.0,0.0,0.0,24
2026-01-31,1325.62,1325.62,1163.6,0.0,75.38,200.37,0.0,270.0,1890.0,2160.0,0.0,4332.6,7486.2,0.0,0.0,0.0,0.0,24
2026-02-01,949.86,949.78,925.2,0.0,189.82,104.61,0.0,585.0,975.0,1560.0,0.0,2964.0,2314.65,0.0,0.0,0.0,0.0,24
2026-02-02,1055.91,1055.84,900.0,0.0,0.35,156.19,0.0,408.0,1224.0,1632.0,0.0,1797.24,2239.24,0.0,0.0,0.0,0.0,24
2026-02-03,603.64,603.44,591.8,0.0,141.14,99.02,0.0,1632.0,0.0,1632.0,0.0,1636.76,0.0,0.0,0.0,0.0,0.0,24
