he,ct_hour,da_energy,rt_energy,da_ecrs,da_ns,da_rrs,da_regup,da_regdn,rt_anc_imbal,rt_rdep_imbal,total_revenue,da_sales_mwh,rt_consump_mwh,rt_gen_mwh,daspp,rtspp
1,01:00,0.0000,-16.7422,0.0000,84.0000,0.0000,0.0000,0.0000,0.0000,0.0000,67.2578,0.0000,0.5315,0.0000,23.7900,31.5300
2,02:00,2.5300,-19.9297,0.0000,81.6000,0.0000,0.0000,0.0000,0.0000,0.0000,64.2003,0.1000,0.5562,0.0000,25.2900,30.3575
3,03:00,2.6000,-20.4119,0.0000,80.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.1881,0.1000,0.5408,0.0000,25.9600,31.8450
4,04:00,2.7400,-18.2933,0.0000,80.0000,0.0000,0.0000,0.0000,0.0000,0.0000,64.4467,0.1000,0.4758,0.0001,27.4300,31.7725
5,05:00,1476.5000,-1526.2510,0.0000,80.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.2490,50.0000,0.4512,0.0000,29.5300,30.2525
6,06:00,1759.0000,-1859.5803,0.0000,130.4000,0.0000,0.0000,0.0000,0.0000,0.0000,29.8197,50.0000,0.4764,0.0000,35.1800,36.8375
7,07:00,0.0000,-18.3819,0.0000,106.4000,0.0000,0.0000,0.0000,0.0000,0.0000,88.0181,0.0000,0.4689,0.0003,36.9900,39.2300
8,08:00,0.0000,-13.2874,0.0000,80.8000,0.0000,0.0000,0.0000,0.0000,0.0000,67.5126,0.0000,0.3687,0.0198,39.7800,37.7600
9,09:00,0.0000,-11.0121,0.0000,80.8000,0.0000,0.0000,0.0000,0.0000,0.0000,69.7879,0.0000,0.3189,0.0008,34.3500,34.7950
10,10:00,0.0000,-12.3140,0.0000,76.8000,0.0000,0.0000,0.0000,0.0000,0.0000,64.4860,0.0000,0.3491,0.0000,33.3500,35.2975
11,11:00,0.0000,-16.6667,0.0000,72.8000,0.0000,0.0000,0.0000,0.0000,0.0000,56.1333,0.0000,0.5023,0.0031,31.5300,33.3775
12,12:00,0.0000,-212.6795,0.0000,60.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-152.6795,0.0000,5.7602,0.0011,33.0500,38.7800
13,13:00,0.0000,-2530.3259,0.0000,59.2000,0.0000,0.0000,0.0000,0.0000,0.0000,-2471.1259,0.0000,56.1629,0.0000,33.6300,43.5400
14,14:00,0.0000,-1616.4043,0.0000,40.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1576.4043,0.0000,57.9571,0.0000,29.4900,27.9975
15,15:00,0.0000,-373.6507,0.0000,40.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-333.6507,0.0000,12.2006,0.0000,31.2600,31.9850
16,16:00,0.0000,-13.9784,0.0000,51.2000,0.0000,0.0000,0.0000,0.0000,0.0000,37.2216,0.0000,0.3222,0.0893,31.8400,56.6050
17,17:00,0.0000,-41.2472,0.0000,60.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.7528,0.0000,0.5710,0.0002,36.0300,72.1300
18,18:00,0.0000,2317.8205,0.0000,79.2000,0.0000,0.0000,0.0000,0.0000,0.0000,2397.0205,0.0000,0.1400,33.5418,36.6500,68.4350
19,19:00,3.6800,46.5522,0.0000,79.2000,0.0000,0.0000,0.0000,0.0000,0.0000,129.4322,0.1000,0.4830,1.3209,36.8200,55.6600
20,20:00,2050.0000,-3079.8440,0.0000,155.2000,0.0000,0.0000,0.0000,0.0000,0.0000,-874.6440,50.0000,0.4506,3.2125,41.0000,65.2400
21,21:00,2053.0000,-2905.3671,113.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-738.7671,50.0000,0.6493,0.0006,41.0600,57.3625
22,22:00,2082.0000,-709.8897,83.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1455.3103,50.0000,0.2895,34.9696,41.6400,45.3575
23,23:00,0.0000,1537.0514,181.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1718.6514,0.0000,0.0019,33.1934,35.3100,46.2400
24,24:00,0.0000,48.3575,88.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,137.1575,0.0000,0.5305,1.5485,33.0700,64.9625
