flowday,he_ct,interval_start_utc,da_energy_revenue,rt_energy_revenue,as_revenue_nonspin,as_revenue_rrs,as_revenue_regup,as_revenue_regdown,as_revenue_ecrs,rt_ancillary_imbalance,rt_reliability_deployment_imbalance,dart_virtual_revenue,energy_injection_mwh,energy_consumption_mwh,daspp,rtspp_avg,total_revenue
2026-06-14,1,2026-06-14T05:00:00Z,0.0,-18.0237,301.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.696,25.97,25.8825,283.8163
2026-06-14,2,2026-06-14T06:00:00Z,0.0,-17.1124,258.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.6838,25.51,25.0275,241.6076
2026-06-14,3,2026-06-14T07:00:00Z,0.0,-17.5508,223.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.6944,25.21,25.2725,205.9692
2026-06-14,4,2026-06-14T08:00:00Z,0.0,-17.8151,218.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6797,25.48,26.2625,200.4249
2026-06-14,5,2026-06-14T09:00:00Z,0.0,-20.0279,221.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6946,26.76,28.85,201.7321
2026-06-14,6,2026-06-14T10:00:00Z,0.0,-20.7993,233.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6893,28.96,30.195,212.4007
2026-06-14,7,2026-06-14T11:00:00Z,0.0,-19.8414,228.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7235,28.78,27.4275,208.9586
2026-06-14,8,2026-06-14T12:00:00Z,0.0,-17.4975,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7177,25.62,24.3775,114.5025
2026-06-14,9,2026-06-14T13:00:00Z,0.0,-276.266,87.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0883,10.9627,22.27,25.03,-189.146
2026-06-14,10,2026-06-14T14:00:00Z,0.0,-1736.3186,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.8175,21.66,26.375,-1670.3186
2026-06-14,11,2026-06-14T15:00:00Z,0.0,-482.6569,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9156,22.09,26.905,-416.6569
2026-06-14,12,2026-06-14T16:00:00Z,0.0,-215.1222,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9893,22.33,24.6225,-149.1222
2026-06-14,13,2026-06-14T17:00:00Z,0.0,-24.7637,65.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1714,22.32,20.56,40.3563
2026-06-14,14,2026-06-14T18:00:00Z,-1177.5,891.4416,52.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5584,23.55,18.03,-233.2584
2026-06-14,15,2026-06-14T19:00:00Z,0.0,-100.4692,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9695,24.57,16.7275,-56.4692
2026-06-14,16,2026-06-14T20:00:00Z,0.0,-4.7433,64.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2628,0.4361,25.96,25.2,59.4967
2026-06-14,17,2026-06-14T21:00:00Z,0.0,-13.0912,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0118,0.4639,25.63,29.3825,52.9088
2026-06-14,18,2026-06-14T22:00:00Z,0.0,-6.4445,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1441,0.3913,26.37,28.9125,81.5555
2026-06-14,19,2026-06-14T23:00:00Z,0.0,-17.3438,90.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0585,0.5296,29.0,36.24,73.2962
2026-06-14,20,2026-06-15T00:00:00Z,-689.7,1819.8085,434.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8375,0.0667,35.01,49.1075,1564.8285
2026-06-14,21,2026-06-15T01:00:00Z,0.0,4040.6743,557.92,0.0,0.0,0.0,79.2,0.0,0.0,0.0,66.5424,0.0,37.03,60.6375,4677.7943
2026-06-14,22,2026-06-15T02:00:00Z,0.0,2000.5871,660.0,0.0,0.0,0.0,107.36,0.0,0.0,0.0,38.3654,0.0,39.6,52.0875,2767.9471
2026-06-14,23,2026-06-15T03:00:00Z,0.0,37.6825,660.0,0.0,0.0,0.0,216.04,0.0,0.0,0.0,1.2182,0.4659,43.77,49.565,913.7225
2026-06-14,24,2026-06-15T04:00:00Z,0.0,-27.0392,450.56,0.0,0.0,0.0,209.88,0.0,0.0,0.0,0.0,0.5409,37.32,50.1775,633.4008
