flowday,he,interval_start_utc,da_energy_revenue,rt_energy_revenue,as_revenue_regup,as_revenue_regdown,as_revenue_rrs,as_revenue_ecrs,as_revenue_nonspin,rt_ancillary_imbalance,rt_reliability_deployment,dart_virtual_revenue,energy_injection_mwh,energy_consumption_mwh,daspp,rtspp_avg,total_revenue,smartbidder_total,delta_vs_benchmark
2026-06-15,HE01,2026-06-15T05:00:00Z,1782.0,-2391.536,0.0,0.0,0.0,0.0,361.68,0.0,0.0,4173.536,0.0,0.5137,35.64,47.35,-247.856,130.5673,-378.4233
2026-06-15,HE02,2026-06-15T06:00:00Z,1634.0,-1974.3271,0.0,0.0,0.0,0.0,386.32,0.0,0.0,3608.3271,0.0,0.5718,32.68,39.04,45.9929,115.0923,-69.0994
2026-06-15,HE03,2026-06-15T07:00:00Z,1608.5,-2148.6334,0.0,0.0,0.0,0.0,264.0,0.0,0.0,3757.1334,0.0,0.5753,32.17,42.4825,-276.1334,98.0011,-374.1345
2026-06-15,HE04,2026-06-15T08:00:00Z,1630.5,-2500.6288,0.0,0.0,0.0,0.0,283.36,0.0,0.0,4131.1288,0.0,0.5704,32.61,49.4475,-586.7688,93.4157,-680.1845
2026-06-15,HE05,2026-06-15T09:00:00Z,1591.5,-2266.6108,0.0,0.0,0.0,0.0,333.52,0.0,0.0,3858.1108,0.0,0.5572,31.83,44.8325,-341.5908,74.865,-416.4558
2026-06-15,HE06,2026-06-15T10:00:00Z,0.0,-26.4921,0.0,0.0,0.0,0.0,301.84,0.0,0.0,26.4921,0.0028,0.5754,37.55,46.25,275.3479,9.9531,265.3948
2026-06-15,HE07,2026-06-15T11:00:00Z,0.0,-33.0773,0.0,0.0,0.0,0.0,318.56,0.0,0.0,33.0773,0.0,0.5606,37.66,59.0125,285.4827,625.4999,-340.0172
2026-06-15,HE08,2026-06-15T12:00:00Z,0.0,-26.4871,0.0,0.0,0.0,0.0,223.52,0.0,0.0,26.4871,0.0012,0.5224,37.79,51.18,197.0329,629.6031,-432.5702
2026-06-15,HE09,2026-06-15T13:00:00Z,0.0,-32.2366,0.0,0.0,0.0,0.0,158.4,0.0,0.0,32.2366,0.0003,0.567,32.21,56.9525,126.1634,456.3778,-330.2144
2026-06-15,HE10,2026-06-15T14:00:00Z,0.0,-29.4922,0.0,0.0,0.0,0.0,119.68,0.0,0.0,29.4922,0.0034,0.5122,33.62,57.795,90.1878,95.1191,-4.9313
2026-06-15,HE11,2026-06-15T15:00:00Z,0.0,-27.536,0.0,0.0,0.0,0.0,88.0,0.0,0.0,27.536,0.0003,0.5628,31.02,48.8775,60.464,-1574.7902,1635.2542
2026-06-15,HE12,2026-06-15T16:00:00Z,0.0,-333.2131,0.0,0.0,0.0,0.0,82.72,0.0,0.0,333.2131,0.0003,7.6004,28.75,45.75,-250.4931,360.6684,-611.1615
2026-06-15,HE13,2026-06-15T17:00:00Z,0.0,-1694.732,0.0,0.0,0.0,0.0,79.2,0.0,0.0,1694.732,0.0,39.1119,27.83,43.6725,-1615.532,-264.8695,-1350.6625
2026-06-15,HE14,2026-06-15T18:00:00Z,-1430.5,1101.1135,0.0,0.0,0.0,0.0,57.2,0.0,0.0,-2531.6135,0.0,19.6844,28.61,38.2,-272.1865,130.7276,-402.9141
2026-06-15,HE15,2026-06-15T19:00:00Z,0.0,-908.8418,0.0,0.0,0.0,0.0,53.68,0.0,0.0,908.8418,0.0,30.9507,30.15,29.4575,-855.1618,-75.49,-779.6718
2026-06-15,HE16,2026-06-15T20:00:00Z,-1563.5,630.7253,0.0,0.0,0.0,0.0,64.24,0.0,0.0,-2194.2253,0.0,26.7695,31.27,27.1075,-868.5347,-88.466,-780.0687
2026-06-15,HE17,2026-06-15T21:00:00Z,-1645.0,1839.8125,0.0,0.0,0.0,0.0,80.96,0.0,0.0,-3484.8125,0.0074,1.3924,32.9,37.65,275.7725,68.326,207.4465
2026-06-15,HE18,2026-06-15T22:00:00Z,0.0,0.1779,0.0,0.0,0.0,0.0,94.16,0.0,0.0,-0.1779,0.2855,0.2912,33.77,61.3725,94.3379,120.2073,-25.8694
2026-06-15,HE19,2026-06-15T23:00:00Z,0.0,766.3034,0.0,0.0,0.0,0.0,173.36,0.0,0.0,-766.3034,10.9884,0.1913,36.63,66.1225,939.6634,262.9508,676.7126
2026-06-15,HE20,2026-06-16T00:00:00Z,-2529.0,5218.9577,0.0,0.0,72.0,0.0,202.5,0.0,0.0,-7747.9577,21.9252,0.0879,50.58,71.7275,2964.4577,516.1642,2448.2935
2026-06-15,HE21,2026-06-16T01:00:00Z,-2857.0,4165.9576,0.0,0.0,180.0,0.0,375.0,0.0,0.0,-7022.9576,17.5772,0.1763,57.14,62.23,1863.9576,623.8914,1240.0662
2026-06-15,HE22,2026-06-16T02:00:00Z,5.87,2098.5374,0.0,0.0,419.4,0.0,425.0,0.0,0.0,-2092.6674,39.5275,0.0,58.69,53.225,2948.8074,494.7688,2454.0386
2026-06-15,HE23,2026-06-16T03:00:00Z,2832.0,-1340.119,0.0,0.0,614.4,0.0,396.0,0.0,0.0,4172.119,25.0007,0.0,56.64,53.8425,2502.281,496.2733,2006.0077
2026-06-15,HE24,2026-06-16T04:00:00Z,0.0,25.8264,0.0,0.0,253.8,0.0,360.0,0.0,0.0,-25.8264,1.0549,0.5565,39.53,43.165,639.6264,181.5798,458.0466
