flowday,interval_start_utc,he_ct,da_energy_revenue,rt_energy_revenue,as_revenue_nonspin,as_revenue_rrs,as_revenue_ecrs,as_revenue_regup,as_revenue_regdown,rt_ancillary_imbalance,rt_reliability_imbalance,dart_virtual_revenue,energy_consumption_mwh,energy_injection_mwh,total_revenue
2026-06-24,2026-06-24T05:00:00Z,1,1223.94,-1394.9485,150.0,0.0,0.0,0.0,0.0,0.0,0.0,-171.0085,0.7363,0.0,-21.0085
2026-06-24,2026-06-24T06:00:00Z,2,1126.5,-1376.033,150.0,0.0,0.0,0.0,0.0,0.0,0.0,-249.533,0.7386,0.0,-99.533
2026-06-24,2026-06-24T07:00:00Z,3,1804.5,-1912.4519,121.5,0.0,0.0,0.0,0.0,0.0,0.0,-107.9519,0.7106,0.0,13.5481
2026-06-24,2026-06-24T08:00:00Z,4,1774.5,-1948.0412,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-173.5412,0.733,0.0,-83.5412
2026-06-24,2026-06-24T09:00:00Z,5,1820.25,-2247.4814,95.25,0.0,0.0,0.0,0.0,0.0,0.0,-427.2314,0.579,0.0,-331.9814
2026-06-24,2026-06-24T10:00:00Z,6,0.0,-17.5638,133.5,0.0,0.0,0.0,0.0,0.0,0.0,-17.5638,0.5228,0.0,115.9362
2026-06-24,2026-06-24T11:00:00Z,7,0.0,-15.7236,150.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.7236,0.509,0.0,134.2764
2026-06-24,2026-06-24T12:00:00Z,8,-1213.5,957.0286,75.75,0.0,0.0,0.0,0.0,0.0,0.0,-256.4714,15.1796,0.0,-180.7214
2026-06-24,2026-06-24T13:00:00Z,9,-983.0,372.8553,72.0,0.0,0.0,0.0,0.0,0.0,0.0,-610.1447,33.3466,0.0,-538.1447
2026-06-24,2026-06-24T14:00:00Z,10,-916.5,421.7689,56.25,0.0,0.0,0.0,0.0,0.0,0.0,-494.7311,30.6558,0.0,-438.4811
2026-06-24,2026-06-24T15:00:00Z,11,-921.0,1032.085,56.25,0.0,0.0,0.0,0.0,0.0,0.0,111.085,1.6475,0.0031,167.335
2026-06-24,2026-06-24T16:00:00Z,12,-972.0,926.7113,45.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.2887,0.2926,0.009,-0.2887
2026-06-24,2026-06-24T17:00:00Z,13,0.0,-3.7141,34.5,0.0,0.0,0.0,0.0,0.0,0.0,-3.7141,0.2395,0.0024,30.7859
2026-06-24,2026-06-24T18:00:00Z,14,0.0,-4.5164,26.25,0.0,0.0,0.0,0.0,0.0,0.0,-4.5164,0.2536,0.0162,21.7336
2026-06-24,2026-06-24T19:00:00Z,15,-1208.5,537.3164,27.75,0.0,0.0,0.0,0.0,0.0,0.0,-671.1836,19.4751,0.0,-643.4336
2026-06-24,2026-06-24T20:00:00Z,16,-1034.5,434.2597,30.0,0.0,0.0,0.0,0.0,0.0,0.0,-600.2403,17.7182,0.0,-570.2403
2026-06-24,2026-06-24T21:00:00Z,17,-946.0,322.8815,30.0,0.0,0.0,0.0,0.0,0.0,0.0,-623.1185,5.3068,0.0,-593.1185
2026-06-24,2026-06-24T22:00:00Z,18,-960.0,514.1622,53.25,0.0,0.0,0.0,0.0,0.0,0.0,-445.8378,0.6816,0.0052,-392.5878
2026-06-24,2026-06-24T23:00:00Z,19,-1027.5,1376.8522,56.25,0.0,0.0,0.0,0.0,0.0,0.0,349.3522,0.2697,4.8487,405.6022
2026-06-24,2026-06-25T00:00:00Z,20,-1572.5,1522.6619,147.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.8381,0.4227,1.7331,97.1619
2026-06-24,2026-06-25T01:00:00Z,21,0.0,593.697,750.0,0.0,0.0,0.0,0.0,0.0,0.0,593.697,0.3448,16.6313,1343.697
2026-06-24,2026-06-25T02:00:00Z,22,0.0,-21.0315,280.0,0.0,139.65,0.0,0.0,0.0,0.0,-21.0315,0.6367,0.0,398.6185
2026-06-24,2026-06-25T03:00:00Z,23,0.0,-15.8564,208.4,0.0,208.05,0.0,0.0,0.0,0.0,-15.8564,0.5299,0.0,400.5936
2026-06-24,2026-06-25T04:00:00Z,24,0.0,-14.505,74.0,0.0,85.5,0.0,0.0,0.0,0.0,-14.505,0.5592,0.0,144.995
