he,interval_start_ct,interval_end_ct,da_energy_revenue,rt_energy_revenue,as_revenue_nonspin,as_revenue_rrs,as_revenue_ecrs,as_revenue_regup,as_revenue_regdown,dart_virtual_revenue,total_revenue,da_sales_mwh,da_purchases_mwh,rt_injection_mwh,rt_consumption_mwh,gen_ns_qty_mw,daspp,rtspp_avg,da_rt_spread
1,2026-07-01T00:00:00-05:00,2026-07-01T01:00:00-05:00,0.0,-9.8118,240.0,0.0,0.0,0.0,0.0,,230.1882,0.0,0.0,0.0016,0.35,80.0,27.38,28.2375,-0.8575
2,2026-07-01T01:00:00-05:00,2026-07-01T02:00:00-05:00,0.0,-8.5672,240.0,0.0,0.0,0.0,0.0,,231.4328,0.0,0.0,0.0002,0.3517,80.0,25.46,24.375,1.085
3,2026-07-01T02:00:00-05:00,2026-07-01T03:00:00-05:00,0.0,-8.1281,203.2,0.0,0.0,0.0,0.0,,195.0719,0.0,0.0,0.0012,0.3317,80.0,24.81,24.605,0.205
4,2026-07-01T03:00:00-05:00,2026-07-01T04:00:00-05:00,0.0,-8.9849,194.4,0.0,0.0,0.0,0.0,,185.4151,0.0,0.0,0.0003,0.3457,80.0,24.09,26.0125,-1.9225
5,2026-07-01T04:00:00-05:00,2026-07-01T05:00:00-05:00,0.0,-8.4598,164.8,0.0,0.0,0.0,0.0,,156.3402,0.0,0.0,0.0005,0.3475,80.0,24.08,24.365,-0.285
6,2026-07-01T05:00:00-05:00,2026-07-01T06:00:00-05:00,0.0,-8.0755,136.0,0.0,0.0,0.0,0.0,,127.9245,0.0,0.0,0.0009,0.3462,80.0,25.44,23.395,2.045
7,2026-07-01T06:00:00-05:00,2026-07-01T07:00:00-05:00,0.0,-7.7027,142.4,0.0,0.0,0.0,0.0,,134.6973,0.0,0.0,0.0014,0.3417,80.0,25.37,22.6025,2.7675
8,2026-07-01T07:00:00-05:00,2026-07-01T08:00:00-05:00,0.0,-4.1563,77.6,0.0,0.0,0.0,0.0,,73.4437,0.0,0.0,0.0033,0.2073,80.0,21.69,19.315,2.375
9,2026-07-01T08:00:00-05:00,2026-07-01T09:00:00-05:00,0.0,0.4895,60.0,0.0,0.0,0.0,0.0,,60.4895,0.0,0.0,0.155,0.1263,80.0,17.35,16.885,0.465
10,2026-07-01T09:00:00-05:00,2026-07-01T10:00:00-05:00,0.0,-712.6572,60.0,0.0,0.0,0.0,0.0,,-652.6572,0.0,0.0,0.0,43.9324,80.0,16.6,16.24,0.36
11,2026-07-01T10:00:00-05:00,2026-07-01T11:00:00-05:00,0.0,-392.8744,56.0,0.0,0.0,0.0,0.0,,-336.8744,0.0,0.0,0.0,22.2264,80.0,17.22,17.335,-0.115
12,2026-07-01T11:00:00-05:00,2026-07-01T12:00:00-05:00,0.0,-94.5757,49.6,0.0,0.0,0.0,0.0,,-44.9757,0.0,0.0,0.0,6.3422,80.0,18.82,14.88,3.94
13,2026-07-01T12:00:00-05:00,2026-07-01T13:00:00-05:00,0.0,-4.2074,49.6,0.0,0.0,0.0,0.0,,45.3926,0.0,0.0,0.0435,0.3317,80.0,22.75,14.925,7.825
14,2026-07-01T13:00:00-05:00,2026-07-01T14:00:00-05:00,2.37,-5.8478,45.6,0.0,0.0,0.0,0.0,,42.1222,0.1,0.0,0.0127,0.2457,80.0,23.72,17.7075,6.0125
15,2026-07-01T14:00:00-05:00,2026-07-01T15:00:00-05:00,2.41,-8.3427,39.2,0.0,0.0,0.0,0.0,,33.2673,0.1,0.0,0.0357,0.3369,80.0,24.13,20.375,3.755
16,2026-07-01T15:00:00-05:00,2026-07-01T16:00:00-05:00,2.38,-10.9761,39.2,0.0,0.0,0.0,0.0,,30.6039,0.1,0.0,0.0652,0.3988,80.0,23.75,25.1675,-1.4175
17,2026-07-01T16:00:00-05:00,2026-07-01T17:00:00-05:00,1130.0,-1677.1304,31.2,0.0,0.0,0.0,0.0,,-515.9304,50.0,0.0,3.83,0.418,80.0,22.6,36.2975,-13.6975
18,2026-07-01T17:00:00-05:00,2026-07-01T18:00:00-05:00,1163.0,-1315.383,37.6,0.0,0.0,0.0,0.0,,-114.783,50.0,0.0,8.8375,0.3249,80.0,23.26,32.5975,-9.3375
19,2026-07-01T18:00:00-05:00,2026-07-01T19:00:00-05:00,1407.5,-1979.886,36.0,0.0,0.0,0.0,0.0,,-536.386,50.0,0.0,1.2383,0.4758,80.0,28.15,40.18,-12.03
20,2026-07-01T19:00:00-05:00,2026-07-01T20:00:00-05:00,2045.5,-401.4779,84.0,0.0,0.0,0.0,0.0,,1728.0221,50.0,0.0,35.4208,0.186,80.0,40.91,36.315,4.595
21,2026-07-01T20:00:00-05:00,2026-07-01T21:00:00-05:00,2221.5,-864.1727,370.4,0.0,0.0,0.0,0.0,,1727.7273,50.0,0.0,29.7319,0.0018,80.0,44.43,42.4725,1.9575
22,2026-07-01T21:00:00-05:00,2026-07-01T22:00:00-05:00,2104.5,-1502.9975,640.0,0.0,0.0,0.0,0.0,,1241.5025,50.0,0.0,19.2332,0.2714,80.0,42.09,48.7275,-6.6375
23,2026-07-01T22:00:00-05:00,2026-07-01T23:00:00-05:00,0.0,302.1291,840.8,0.0,0.0,0.0,0.0,,1142.9291,0.0,0.0,5.4777,0.0012,80.0,39.59,48.88,-9.29
24,2026-07-01T23:00:00-05:00,2026-07-02T00:00:00-05:00,0.0,-12.9961,496.8,0.0,0.0,0.0,0.0,,483.8039,0.0,0.0,0.1188,0.5756,80.0,31.88,28.9825,2.8975
