flowday,he,interval_start_utc,da_energy_revenue,rt_energy_revenue,as_revenue_nonspin,as_revenue_rrs,as_revenue_ecrs,as_revenue_regup,as_revenue_regdown,dart_virtual_revenue,energy_injection_mwh,energy_consumption_mwh,total_revenue
2026-07-02,1,2026-07-02T05:00:00Z,0.0,-18.4837,201.6,0.0,0.0,0.0,0.0,0.0,0.0001,0.698002,183.1163
2026-07-02,2,2026-07-02T06:00:00Z,0.0,-15.9926,177.6,0.0,0.0,0.0,0.0,0.0,0.0,0.64081,161.6074
2026-07-02,3,2026-07-02T07:00:00Z,-1220.0,1198.156,109.6,0.0,0.0,0.0,0.0,0.0,0.0,0.647471,87.756
2026-07-02,4,2026-07-02T08:00:00Z,-1234.5,1158.4096,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.504934,7.9096
2026-07-02,5,2026-07-02T09:00:00Z,0.0,-8.0572,106.4,0.0,0.0,0.0,0.0,0.0,0.0,0.33679,98.3428
2026-07-02,6,2026-07-02T10:00:00Z,0.0,-8.3395,160.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.316687,151.6605
2026-07-02,7,2026-07-02T11:00:00Z,0.0,-9.0121,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.338392,150.9879
2026-07-02,8,2026-07-02T12:00:00Z,0.0,-4.6681,68.8,0.0,0.0,0.0,0.0,0.0,0.0,0.203157,64.1319
2026-07-02,9,2026-07-02T13:00:00Z,0.0,-148.0359,60.0,0.0,0.0,0.0,0.0,0.0,0.0014,7.843416,-88.0359
2026-07-02,10,2026-07-02T14:00:00Z,0.0,-1148.7423,56.0,0.0,0.0,0.0,0.0,0.0,0.0,60.564307,-1092.7423
2026-07-02,11,2026-07-02T15:00:00Z,0.0,-1067.701,42.4,0.0,0.0,0.0,0.0,0.0,0.0,57.444676,-1025.301
2026-07-02,12,2026-07-02T16:00:00Z,0.0,-144.3529,39.2,0.0,0.0,0.0,0.0,0.0,0.0,7.284318,-105.1529
2026-07-02,13,2026-07-02T17:00:00Z,0.0,-8.9877,39.2,0.0,0.0,0.0,0.0,0.0,0.0011,0.441398,30.2123
2026-07-02,14,2026-07-02T18:00:00Z,1381.5,-1392.5248,39.2,0.0,0.0,0.0,0.0,0.0,0.029,0.165193,28.1752
2026-07-02,15,2026-07-02T19:00:00Z,2.62,-2.3782,37.6,0.0,0.0,0.0,0.0,0.0,0.1543,0.140743,37.8418
2026-07-02,16,2026-07-02T20:00:00Z,2.66,-19.7345,32.0,0.0,0.0,0.0,0.0,0.0,0.0241,0.471268,14.9255
2026-07-02,17,2026-07-02T21:00:00Z,1397.5,-1802.4033,30.4,0.0,0.0,0.0,0.0,0.0,0.1872,0.414832,-374.5033
2026-07-02,18,2026-07-02T22:00:00Z,1436.0,-1165.6416,34.4,0.0,0.0,0.0,0.0,0.0,0.0329,0.425392,304.7584
2026-07-02,19,2026-07-02T23:00:00Z,1507.5,-1317.4425,39.2,0.0,0.0,0.0,0.0,0.0,0.0336,0.415355,229.2575
2026-07-02,20,2026-07-03T00:00:00Z,1820.0,-1460.2792,79.2,0.0,0.0,0.0,0.0,0.0,0.0019,0.645309,438.9208
2026-07-02,21,2026-07-03T01:00:00Z,1811.0,-1575.5287,390.4,0.0,0.0,0.0,0.0,0.0,0.0,0.692786,625.8713
2026-07-02,22,2026-07-03T02:00:00Z,1817.0,-1492.7612,623.2,0.0,0.0,0.0,0.0,0.0,0.0,0.597946,947.4388
2026-07-02,23,2026-07-03T03:00:00Z,0.0,-18.7102,729.6,0.0,0.0,0.0,0.0,0.0,0.0,0.645964,710.8898
2026-07-02,24,2026-07-03T04:00:00Z,0.0,-18.5376,443.2,0.0,0.0,0.0,0.0,0.0,0.0,0.665745,424.6624
