flowday,he,he_start_cdt,da_energy_revenue,rt_energy_revenue,as_revenue_nonspin,as_revenue_regdown,as_revenue_regup,as_revenue_rrs,as_revenue_ecrs,rt_as_imbalance,rt_rdi,dart_virtual_revenue,total_revenue,daspp,rtspp_avg,da_sales_mwh,da_purchases_mwh,rt_generation_mwh,rt_consumption_mwh,ns_offered_mw,ecrs_offered_mw
2026-08-10,1,2026-08-10 00:00,0.0,-11.2706,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.7294,25.44,27.8625,0.0,0,0,0.3947,100.0,0.0
2026-08-10,2,2026-08-10 01:00,0.0,-8.8579,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.1421,23.81,23.61,0.0,0,0,0.3747,100.0,0.0
2026-08-10,3,2026-08-10 02:00,0.0,-12.5628,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.4372,22.39,23.0425,0.0,0,0,0.5458,100.0,0.0
2026-08-10,4,2026-08-10 03:00,0.0,-11.8967,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.1033,22.02,21.8025,0.0,0,0,0.5457,100.0,0.0
2026-08-10,5,2026-08-10 04:00,0.0,-12.1838,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.8162,22.37,21.5775,0.0,0,0,0.5647,100.0,0.0
2026-08-10,6,2026-08-10 05:00,-1203.5,1120.0109,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5109,24.07,22.5975,0,50.0,0,0.4372,100.0,0.0
2026-08-10,7,2026-08-10 06:00,-1214.0,1167.7775,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.7775,24.28,23.4875,0,50.0,0.0005,0.2815,100.0,0.0
2026-08-10,8,2026-08-10 07:00,0.0,-6.7732,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.2268,22.71,21.295,0.0,0,0,0.3189,100.0,0.0
2026-08-10,9,2026-08-10 08:00,0.0,-5.5567,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.4433,18.76,17.43,0.0,0,0,0.3187,100.0,0.0
2026-08-10,10,2026-08-10 09:00,0.0,-1068.5855,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1030.5855,17.31,18.705,0.0,0,0,57.0793,100.0,0.0
2026-08-10,11,2026-08-10 10:00,0.0,-1037.3072,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-998.3072,17.09,20.2525,0.0,0,0,51.2204,100.0,0.0
2026-08-10,12,2026-08-10 11:00,545.41,-1125.1368,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-539.7268,18.12,22.1475,30.1,0,0.0001,20.8465,100.0,0.0
2026-08-10,13,2026-08-10 12:00,584.24,-726.6409,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-96.4009,19.41,23.6925,30.1,0,0.0063,0.5722,100.0,0.0
2026-08-10,14,2026-08-10 13:00,0.0,-2.8096,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.1904,21.94,25.045,0.0,0,0.0277,0.1388,100.0,0.0
2026-08-10,15,2026-08-10 14:00,0.0,-1.468,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.532,23.94,31.5975,0.0,0,0.0499,0.0935,100.0,0.0
2026-08-10,16,2026-08-10 15:00,0.0,-2.7212,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.2788,23.95,28.425,0.0,0,0.0454,0.1408,100.0,0.0
2026-08-10,17,2026-08-10 16:00,0.0,-4.9822,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0178,22.63,23.5325,0.0,0,0.0358,0.2452,100.0,0.0
2026-08-10,18,2026-08-10 17:00,0.0,-7.0679,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.9321,21.34,24.1025,0.0,0,0.0178,0.3032,100.0,0.0
2026-08-10,19,2026-08-10 18:00,0.0,-10.2505,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.7495,24.11,21.8325,0.0,0,0.0083,0.4707,100.0,0.0
2026-08-10,20,2026-08-10 19:00,0.0,-10.5856,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.4144,24.79,20.1425,0.0,0,0.0008,0.528,100.0,0.0
2026-08-10,21,2026-08-10 20:00,0.0,-9.6746,357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347.3254,25.47,17.9875,0.0,0,0.0002,0.5371,100.0,0.0
2026-08-10,22,2026-08-10 21:00,0.0,-11.6993,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488.3007,28.3,20.04,0.0,0,0,0.5845,100.0,0.0
2026-08-10,23,2026-08-10 22:00,0.0,-12.0495,560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,547.9505,27.83,21.5125,0.0,0,0,0.5599,100.0,0.0
2026-08-10,24,2026-08-10 23:00,0.0,-12.8902,403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.1098,23.95,21.245,0.0,0,0,0.6069,100.0,0.0
