flowday,he_ct,interval_start_utc,da_energy_revenue,rt_energy_revenue,as_revenue_regup,as_revenue_regdown,as_revenue_rrs,as_revenue_ecrs,as_revenue_nonspin,rt_ancillary_imbalance,rt_reliability_deployment,dart_virtual_revenue,total_revenue,energy_injection_mwh,energy_consumption_mwh,daspp,rtspp_avg,gen_ecrs_mw,gen_ns_mw
2026-08-22,1,2026-08-22T05:00:00Z,0.0,-8.3857,0.0,0.0,0.0,0.0,180.0,0.0,0.0,,171.6143,0.0,0.2899,27.29,28.965,0.0,90.0
2026-08-22,2,2026-08-22T06:00:00Z,0.0,-6.8331,0.0,0.0,0.0,0.0,141.3,0.0,0.0,,134.4669,0.0,0.2683,25.5,25.425,0.0,90.0
2026-08-22,3,2026-08-22T07:00:00Z,-1189.0,1303.6588,0.0,0.0,0.0,0.0,117.0,0.0,0.0,,231.6588,0.0,50.1811,23.78,26.1675,0.0,90.0
2026-08-22,4,2026-08-22T08:00:00Z,-1143.5,1380.9363,0.0,0.0,0.0,0.0,96.3,0.0,0.0,,333.7363,0.0,50.1241,22.87,27.6875,0.0,90.0
2026-08-22,5,2026-08-22T09:00:00Z,-1139.5,1239.0801,0.0,0.0,0.0,0.0,90.0,0.0,0.0,,189.5801,0.0002,50.113,22.79,24.8375,0.0,90.0
2026-08-22,6,2026-08-22T10:00:00Z,0.0,-2.1631,0.0,0.0,0.0,0.0,95.4,0.0,0.0,,93.2369,0.0001,0.095,23.62,22.8325,0.0,90.0
2026-08-22,7,2026-08-22T11:00:00Z,0.0,-1.6904,0.0,0.0,0.0,0.0,93.6,0.0,0.0,,91.9096,0.0006,0.0788,24.34,21.615,0.0,90.0
2026-08-22,8,2026-08-22T12:00:00Z,0.0,-174.0781,0.0,0.0,0.0,0.0,72.0,0.0,0.0,,-102.0781,0.0,8.8976,23.23,21.0425,0.0,90.0
2026-08-22,9,2026-08-22T13:00:00Z,0.0,-427.8116,0.0,0.0,0.0,0.0,27.0,0.0,0.0,,-400.8116,0.0,21.8291,18.75,19.8225,0.0,90.0
2026-08-22,10,2026-08-22T14:00:00Z,-956.5,53.6585,0.0,0.0,0.0,0.0,27.0,0.0,0.0,,-875.8415,0.0,97.8739,19.13,18.91,0.0,90.0
2026-08-22,11,2026-08-22T15:00:00Z,0.0,-600.8528,0.0,0.0,0.0,0.0,27.0,0.0,0.0,,-573.8528,0.0,34.9779,20.47,17.4425,0.0,90.0
2026-08-22,12,2026-08-22T16:00:00Z,-1196.5,939.2382,0.0,0.0,0.0,0.0,27.0,0.0,0.0,,-230.2618,0.0,55.2036,23.93,20.8625,0.0,90.0
2026-08-22,13,2026-08-22T17:00:00Z,0.0,-10.8567,0.0,0.0,0.0,0.0,36.0,0.0,0.0,,25.1433,0.0028,0.3312,32.15,34.2775,0.0,90.0
2026-08-22,14,2026-08-22T18:00:00Z,0.0,-13.4344,0.0,0.0,0.0,0.0,34.2,0.0,0.0,,20.7656,0.0,0.3068,39.23,43.99,0.0,90.0
2026-08-22,15,2026-08-22T19:00:00Z,0.0,-12.0163,0.0,0.0,0.0,0.0,36.0,0.0,0.0,,23.9837,0.0007,0.2587,42.65,45.7175,0.0,90.0
2026-08-22,16,2026-08-22T20:00:00Z,0.0,-3.8073,0.0,0.0,0.0,0.0,32.4,0.0,0.0,,28.5927,0.0,0.1067,48.56,35.3225,0.0,90.0
2026-08-22,17,2026-08-22T21:00:00Z,0.0,-2.8895,0.0,0.0,0.0,0.0,35.1,0.0,0.0,,32.2105,0.0018,0.0885,52.21,33.1075,0.0,90.0
2026-08-22,18,2026-08-22T22:00:00Z,2621.5,-1887.5148,0.0,0.0,0.0,0.0,60.3,0.0,0.0,,794.2852,52.5331,0.063,52.43,39.9025,0.0,90.0
2026-08-22,19,2026-08-22T23:00:00Z,4.11,1274.4281,0.0,0.0,0.0,0.0,77.4,0.0,0.0,,1355.9381,27.4006,0.0137,41.07,46.2575,0.0,90.0
2026-08-22,20,2026-08-23T00:00:00Z,0.0,1921.4683,0.0,0.0,0.0,44.0,0.0,0.0,0.0,,1965.4683,33.3036,0.0,43.29,57.665,50.0,
2026-08-22,21,2026-08-23T01:00:00Z,4.54,1377.6549,0.0,0.0,0.0,494.0,0.0,0.0,0.0,,1876.1949,28.1112,0.0,45.44,49.3275,50.0,
2026-08-22,22,2026-08-23T02:00:00Z,2508.0,-2080.2952,0.0,0.0,0.0,712.0,0.0,0.0,0.0,,1139.7048,57.331,0.111,50.16,49.49,50.0,
2026-08-22,23,2026-08-23T03:00:00Z,0.0,-2.0085,0.0,0.0,0.0,488.0,0.0,0.0,0.0,,485.9915,0.0523,0.1153,39.19,121.53,50.0,
2026-08-22,24,2026-08-23T04:00:00Z,0.0,-36.5341,0.0,0.0,0.0,170.0,0.0,0.0,0.0,,133.4659,0.0028,0.157,31.61,242.1725,50.0,
