HE,DA_MWh,RT_MWh,AS_RRS_MW,AS_ECRS_MW,AS_NS_MW,DA_price,RT_price,DA_Energy_Amt,RT_Energy_Amt,DA_NS_Amt,DA_ECRS_Amt
HE01,0.0,-0.5779,0.0,0.0,15.0,27.75,26.7425,0.0,-15.455,45.0,0.0
HE02,0.0,-0.5564,0.0,0.0,15.0,25.61,25.76,0.0,-14.3327,33.6,0.0
HE03,0.0,-0.5429,0.0,0.0,0.0,24.6,26.355,0.0,-14.309,0.0,0.0
HE04,-30.0,-18.9782,0.0,0.0,0.0,24.3,25.7075,-729.0,-487.8822,0.0,0.0
HE05,0.0,-49.4165,0.0,0.0,0.0,25.85,25.625,0.0,-1266.2988,0.0,0.0
HE06,0.0,-2.2947,0.0,0.0,0.0,28.5,27.975,0.0,-64.1943,0.0,0.0
HE07,0.0,-0.4503,0.0,0.0,15.0,30.76,34.555,0.0,-15.5616,35.7,0.0
HE08,0.0,-0.2364,0.0,0.0,8.6,30.06,35.89,0.0,-8.4858,17.2,0.0
HE09,0.0,-0.0614,0.0,0.0,0.0,24.02,25.7025,0.0,-1.5785,0.0,0.0
HE10,0.0,-0.0541,0.0,0.0,0.0,23.12,23.685,0.0,-1.2814,0.0,0.0
HE11,0.0,-0.1598,0.0,0.0,0.0,23.67,19.6,0.0,-3.1316,0.0,0.0
HE12,0.0,-0.1576,0.0,0.0,0.0,27.92,21.14,0.0,-3.3307,0.0,0.0
HE13,0.0,-0.1563,0.0,0.0,85.0,37.16,40.6225,0.0,-6.3484,25.5,0.0
HE14,0.0,-0.1554,0.0,0.0,85.0,46.53,55.7575,0.0,-8.6658,51.0,0.0
HE15,0.0,-0.1592,0.0,0.0,85.0,51.49,48.4025,0.0,-7.7053,51.85,0.0
HE16,0.0,-0.5,0.0,0.0,85.0,55.38,46.5275,0.0,-23.2658,59.5,0.0
HE17,0.0,-0.902,0.0,0.0,85.0,51.87,48.03,0.0,-43.324,55.25,0.0
HE18,0.0,-0.7634,0.0,0.0,85.0,51.18,39.6725,0.0,-30.2848,64.6,0.0
HE19,50.0,-50.8608,0.0,0.0,85.0,42.22,43.79,2111.0,-2227.1938,79.9,0.0
HE20,0.0,-0.9765,0.0,0.0,40.0,29.31,41.42,0.0,-40.4461,337.6,0.0
HE21,0.0,27.3334,0.0,50.0,0.0,20.63,106.63,0.0,2914.5656,0.0,56.5
HE22,0.0,9.2105,0.0,50.0,0.0,21.94,58.4725,0.0,538.5614,0.0,304.0
HE23,0.0,-1.0462,0.0,50.0,0.0,21.01,27.19,0.0,-28.4464,0.0,218.0
HE24,0.0,-1.0219,0.0,50.0,0.0,21.3,26.045,0.0,-26.6144,0.0,15.0
