Site,Pnode Name,Owner,Capacity (MW),Energy capacity (MWh),,,,,,,,,,,,,
Al Pastor BESS,LAMESASLR_G,UBS Asset Management,103.1,145.0,,,,,,,,,,,,,
Alvin (DGR),ALVIN_RN,ENGIE,10.0,10.0,,,,,,,,,,,,,
Anchor BESS 1,ANCHOR_ALL,Enel North America,35.2,54.0,,,,,,,,,,,,,
Anchor BESS 2,ANCHOR_ALL,Enel North America,36.3,59.0,,,,,,,,,,,,,
Andromeda Storage SLF 1,ANDMDSLR_LD1,Intersect Power,82.0,164.0,,,,,,,,,,,,,
Andromeda Storage SLF 2,ANDMDSLR_LD2,Intersect Power,78.0,156.0,,,,,,,,,,,,,
Anemoi Energy Storage,ANEM_ESS_RN,Plus Power,205.0,400.0,,,,,,,,,,,,,
Angelo Storage,ANG_ALL,Apex Clean Energy,103.0,200.0,,,,,,,,,,,,,
Angleton BESS,GAMBIT_RN,On.Energy,9.9,9.9,,,,,,,,,,,,,
Anole BESS,ANOL_ESS_RN,esVolta,247.1,480.0,,,,,,,,,,,,,
Antlia BESS,ANTL_ESS_ES1,ENGIE,72.4,140.0,,,,,,,,,,,,,
Avila BESS,AVIL_ESS_RN,ENGIE,160.0,320.0,,,,,,,,,,,,,
Azure Sky Solar,AZURE_RN,Enel North America,77.2,116.0,,,,,,,,,,,,,
Azure Sky Wind,VORT_ALL_RN,Enel North America,121.8,180.0,,,,,,,,,,,,,
Bat Cave,BATCAVE_RN,ENGIE,100.5,110.0,,,,,,,,,,,,,
Bay City,BAYC_BESS_RN,SMT Energy,9.9,9.9,,,,,,,,,,,,,
Blevins Storage,BLVN_RN,National Grid Renewables,188.0,360.0,,,,,,,,,,,,,
Blue Jay,BLUEJAY_RN,Enel North America,51.4,84.8,,,,,,,,,,,,,
Blue Summit,BLSMT1_5_A_6,NextEra Energy Resources,30.0,12.6,,,,,,,,,,,,,
Bocanova BESS,BCNV_RN,Nightpeak Energy,150.0,300.0,,,,,,,,,,,,,
BoCo BESS,BOCO_ESS_RN,Aypa Power,154.0,300.0,,,,,,,,,,,,,
Brazoria (DGR),BRP_BRAZ_RN,ENGIE,10.0,10.0,,,,,,,,,,,,,
Bright Arrow Storage U1,BR_ARROW_ALL,RWE,49.3,95.0,,,,,,,,,,,,,
